"country","year","footprint","deficit","id"
"Sierra Leone",1969,1.629439405,0.724947129,"SLE"
"Somalia",1969,2.199939494,1.565760039,"SOM"
"South Africa",1969,3.284769929,-0.981400817,"ZAF"
"Spain",1969,3.298709372,-1.945175149,"ESP"
"Sri Lanka",1969,0.926918775,-0.374225261,"LKA"
"Sudan (former)",1969,2.014344293,3.58346908,""
"Swaziland",1969,2.067462314,0.421617452,"SWZ"
"Sweden",1969,7.284835358,4.700484272,"SWE"
"Switzerland",1969,5.396737933,-4.167179982,"CHE"
"Syrian Arab Republic",1969,1.101037265,0.010133765,"SYR"
"Tanzania, United Republic of",1969,1.536795058,0.847028635,"TZA"
"Thailand",1969,1.003574566,0.386756887,"THA"
"Timor-Leste",1969,0.479116783,2.923223974,"TLS"
"Togo",1969,1.295405262,-0.0903656850000001,"TGO"
"Tonga",1969,0.982759327,0.779418871,"TON"
"Trinidad and Tobago",1969,0.852855934,1.619740256,"TTO"
"Tunisia",1969,0.921822479,0.103073186,"TUN"
"Turkey",1969,1.889063831,0.551535596,"TUR"
"Uganda",1969,2.066747086,-0.446132667,"UGA"
"United Kingdom",1969,6.952512574,-5.879174134,"GBR"
"United States of America",1969,10.17561041,-5.484386493,"USA"
"Uruguay",1969,4.730949205,6.070088825,"URY"
"USSR",1969,4.873877323,0.0190266889999995,"SUUH"
"Venezuela, Bolivarian Republic of",1969,2.207372196,4.257878626,"VEN"
"Viet Nam",1969,0.758211031,0.20233208,"VNM"
"World",1969,2.628818457,0.125207704,"WORLD"
"Yemen",1969,0.858174717,1.063058968,"YEM"
"Yugoslav SFR",1969,2.550934765,-0.453839597,"YUG"
"Zambia",1969,1.992490513,4.732136602,"ZMB"
"Zimbabwe",1969,1.813139638,-0.0434530390000001,"ZWE"
