"country","year","footprint","deficit","id"
"Afghanistan",1962,1.162180403,0.115499502,"AFG"
"Albania",1962,1.805187485,-0.186538797,"ALB"
"Algeria",1962,0.817849559,0.731634662,"DZA"
"Angola",1962,0.93335563,8.777292768,"AGO"
"Argentina",1962,3.145041061,6.957441889,"ARG"
"Australia",1962,7.376650218,21.459498322,"AUS"
"Austria",1962,3.694639648,-0.47550724,"AUT"
"Barbados",1962,1.784883344,-1.400664551,"BRB"
"Belgium",1962,6.11354561,-5.215969222,"BEL"
"Benin",1962,1.315638463,1.837896169,"BEN"
"Bermuda",1962,4.021330836,-3.839862016,"BMU"
"Bolivia",1962,2.192596468,48.598033332,"BOL"
"Brazil",1962,2.446975038,19.682782372,"BRA"
"Bulgaria",1962,2.725897779,-0.561074959,"BGR"
"Burkina Faso",1962,1.134629635,0.884851187,"BFA"
"Burundi",1962,1.101440727,-0.249287915,"BDI"
"Cabo Verde",1962,0.52437269,0.856487263,"CPV"
"Cambodia",1962,1.473054509,0.141636449,"KHM"
"Cameroon",1962,1.297425061,4.381127903,"CMR"
"Canada",1962,8.854499708,17.732555042,"CAN"
"Central African Republic",1962,1.144101054,21.703220396,"CAF"
"Chad",1962,2.207192613,5.570542942,"TCD"
"Chile",1962,2.477432218,3.839818445,"CHL"
"China",1962,0.911247681,0.072363113,"CHN"
"Colombia",1962,2.151571452,8.245437968,"COL"
"Comoros",1962,0.552711382,0.0727819119999999,"COM"
"Congo",1962,0.926203601,44.640567639,"COG"
"Congo, Democratic Republic of",1962,0.943786933,13.024611467,"COD"
"Costa Rica",1962,2.17298285,3.603989446,"CRI"
"Cote d'Ivoire",1962,1.512093092,5.442013079,"CIV"
"Cuba",1962,1.608071617,-0.71871789,"CUB"
"Cyprus",1962,1.996418967,-1.128864937,"CYP"
"Czechoslovakia",1962,5.426068323,-3.161100032,"CSHH"
"Denmark",1962,6.415580149,-1.832528598,"DNK"
"Djibouti",1962,1.989197878,2.671756961,"DJI"
"Dominica",1962,0.688392653,0.390772427,"DMA"
"Dominican Republic",1962,1.015461448,0.0960538,"DOM"
"Ecuador",1962,1.196458389,6.124565659,"ECU"
"Egypt",1962,0.912063938,-0.41151982,"EGY"
"El Salvador",1962,1.108657082,0.0841286410000002,"SLV"
"Ethiopia PDR",1962,1.897206238,0.0292964489999998,"ETH"
"Fiji",1962,1.229055477,3.430445601,"FJI"
"Finland",1962,6.37188832,7.90280298,"FIN"
"France",1962,4.528413186,-2.148922695,"FRA"
"Gabon",1962,1.219222254,85.086376916,"GAB"
"Gambia",1962,1.155367159,2.661726481,"GMB"
"Germany",1962,4.617616855,-3.181072581,"DEU"
"Ghana",1962,1.12443042,1.669183697,"GHA"
"Greece",1962,1.838107963,-0.426278682,"GRC"
"Guadeloupe",1962,1.339505266,-0.439087657,"GLP"
"Guatemala",1962,1.332139285,1.143219765,"GTM"
"Guinea",1962,1.679841213,4.422052825,"GIN"
"Guyana",1962,2.1804042,96.07517987,"GUY"
"Haiti",1962,0.612870269,-0.152920945,"HTI"
"Honduras",1962,2.739282135,4.831093652,"HND"
"Hungary",1962,3.094446317,-1.519467608,"HUN"
"India",1962,0.618504724,-0.137632933,"IND"
"Indonesia",1962,1.422581542,1.274886458,"IDN"
"Iran, Islamic Republic of",1962,0.95491434,0.608327471,"IRN"
"Israel",1962,2.511578942,-2.114087766,"ISR"
"Italy",1962,2.573115448,-1.49538029,"ITA"
"Jamaica",1962,1.595837135,-0.981331846,"JAM"
"Japan",1962,3.034190872,-2.036332606,"JPN"
"Jordan",1962,1.498595935,-0.725462213,"JOR"
"Kenya",1962,1.688889214,0.101178949,"KEN"
"Korea, Democratic People's Republic of",1962,1.337831965,-0.042689024,"PRK"
"Korea, Republic of",1962,0.790532017,0.478001308,"KOR"
"Lao People's Democratic Republic",1962,1.56982687,2.142079094,"LAO"
"Lebanon",1962,1.639758489,-1.176716577,"LBN"
"Liberia",1962,1.012545195,8.882340937,"LBR"
"Luxembourg",1962,13.14697004,-10.671875684,"LUX"
"Madagascar",1962,2.03618012,8.12426608,"MDG"
"Malaysia",1962,1.413222009,4.502068532,"MYS"
"Mali",1962,1.392742503,1.835708973,"MLI"
"Malta",1962,1.843260352,-1.063365061,"MLT"
"Martinique",1962,1.291260254,-0.687380977,"MTQ"
"Mauritania",1962,3.626244157,15.899279573,"MRT"
"Mauritius",1962,0.911973276,0.403498226,"MUS"
"Mexico",1962,1.783702512,1.562309965,"MEX"
"Mongolia",1962,6.608873597,45.106716453,"MNG"
"Morocco",1962,1.021829326,0.156486147,"MAR"
"Mozambique",1962,0.803676,5.605241682,"MOZ"
"Myanmar",1962,0.625104492,2.204150226,"MMR"
"Namibia",1962,2.931179089,22.828350231,"NAM"
"Nepal",1962,0.861757735,-0.10823015,"NPL"
"Netherlands",1962,3.869347527,-2.618594048,"NLD"
"New Zealand",1962,4.646405082,13.513684498,"NZL"
"Nicaragua",1962,2.450245285,7.638235175,"NIC"
"Niger",1962,1.699825209,1.139736837,"NER"
"Nigeria",1962,0.912941194,0.205596298,"NGA"
"Norway",1962,7.319237248,2.342466374,"NOR"
"Pakistan",1962,0.539996989,-0.0501729200000001,"PAK"
"Panama",1962,2.200708477,9.851681153,"PAN"
"Papua New Guinea",1962,1.256104576,11.391119004,"PNG"
"Paraguay",1962,3.657626678,39.368485612,"PRY"
"Peru",1962,2.76055678,7.84100348,"PER"
"Philippines",1962,0.946529701,0.019843147,"PHL"
"Poland",1962,3.973618047,-1.976060891,"POL"
"Portugal",1962,2.394644989,-1.094919451,"PRT"
"Reunion",1962,1.082238838,-0.756237795,"REU"
"Romania",1962,2.554332939,-0.33831856,"ROU"
"Rwanda",1962,0.916683053,-0.080657986,"RWA"
"Saint Lucia",1962,0.735694648,0.220311819,"LCA"
"Samoa",1962,1.369393276,1.0852304,"WSM"
"Sao Tome and Principe",1962,0.706805092,2.474750041,"STP"
"Senegal",1962,1.618628757,2.788871258,"SEN"
"Sierra Leone",1962,1.61486722,0.924600183,"SLE"
"Somalia",1962,2.528536252,1.929258064,"SOM"
"South Africa",1962,2.664183565,0.171210656,"ZAF"
"Spain",1962,2.476173161,-1.107972621,"ESP"
"Sri Lanka",1962,0.82189575,-0.27422073,"LKA"
"Sudan (former)",1962,1.71710881,5.09613406,""
"Sweden",1962,7.495095756,5.143924984,"SWE"
"Switzerland",1962,4.706563519,-3.336609697,"CHE"
"Syrian Arab Republic",1962,1.121213449,0.422068583,"SYR"
"Thailand",1962,0.853556977,0.839006702,"THA"
"Timor-Leste",1962,0.445107101,3.408783963,"TLS"
"Togo",1962,1.448136861,-0.0232671530000002,"TGO"
"Tonga",1962,0.839516669,1.047746614,"TON"
"Trinidad and Tobago",1962,1.356709763,1.305359255,"TTO"
