"country","year","footprint","deficit","id"
"Afghanistan",1966,1.188987083,-0.0426540950000001,"AFG"
"Albania",1966,1.811502295,-0.322860085,"ALB"
"Algeria",1966,0.531819146,0.664527935,"DZA"
"Angola",1966,1.134466542,7.93121296,"AGO"
"Argentina",1966,3.318209322,6.012576434,"ARG"
"Australia",1966,8.4245495,18.65853679,"AUS"
"Austria",1966,4.040651542,-0.797405314,"AUT"
"Barbados",1966,2.124268781,-1.723345714,"BRB"
"Belgium",1966,6.401457075,-5.620818673,"BEL"
"Benin",1966,1.247738657,1.570582925,"BEN"
"Bermuda",1966,5.125891481,-4.95434407,"BMU"
"Bolivia",1966,2.220949151,44.070517709,"BOL"
"Botswana",1966,1.519979772,10.661005358,"BWA"
"Brazil",1966,2.344688813,17.373129867,"BRA"
"Bulgaria",1966,3.921145734,-1.376899601,"BGR"
"Burkina Faso",1966,1.341318929,0.67148467,"BFA"
"Burundi",1966,1.160590433,-0.33008094,"BDI"
"Cabo Verde",1966,0.575524463,0.693514242,"CPV"
"Cambodia",1966,1.410708654,0.116483494,"KHM"
"Cameroon",1966,1.271800062,3.980590299,"CMR"
"Canada",1966,9.70075814,15.69727287,"CAN"
"Central African Republic",1966,1.241562062,19.954076908,"CAF"
"Chad",1966,2.139116216,5.02920605,"TCD"
"Chile",1966,2.537764064,3.370469318,"CHL"
"China",1966,1.001159846,-0.0111383589999999,"CHN"
"Colombia",1966,2.14713255,7.163338082,"COL"
"Comoros",1966,0.61128961,0.013688528,"COM"
"Congo",1966,0.895590595,39.902047365,"COG"
"Congo, Democratic Republic of",1966,0.98859833,11.5125783,"COD"
"Costa Rica",1966,2.338966565,2.630181847,"CRI"
"Cote d'Ivoire",1966,1.693282489,4.446615405,"CIV"
"Cuba",1966,1.669557886,-0.832813771,"CUB"
"Cyprus",1966,2.198315112,-1.38213684,"CYP"
"Czechoslovakia",1966,5.681698743,-3.432356432,"CSHH"
"Denmark",1966,7.280812362,-2.833413243,"DNK"
"Djibouti",1966,2.052351098,1.492220103,"DJI"
"Dominica",1966,0.721129585,0.376677278,"DMA"
"Dominican Republic",1966,0.969491974,0.017051202,"DOM"
"Ecuador",1966,1.249060934,5.096322025,"ECU"
"Egypt",1966,1.007240117,-0.553055189,"EGY"
"El Salvador",1966,1.216484259,-0.0945620309999999,"SLV"
"Ethiopia PDR",1966,1.788740088,-0.0191647879999999,"ETH"
"Fiji",1966,1.370255525,2.750424065,"FJI"
"Finland",1966,6.948414469,7.322596231,"FIN"
"France",1966,4.787226239,-2.446447941,"FRA"
"French Polynesia",1966,3.254513343,-0.455518052,"PYF"
"Gabon",1966,0.952423368,79.990643162,"GAB"
"Gambia",1966,1.347936958,2.452047931,"GMB"
"Germany",1966,4.87215851,-3.502130864,"DEU"
"Ghana",1966,1.114700128,1.387509718,"GHA"
"Greece",1966,2.433208101,-0.834296977,"GRC"
"Guadeloupe",1966,1.371319829,-0.504713416,"GLP"
"Guatemala",1966,1.299070461,0.976599476,"GTM"
"Guinea",1966,1.655667465,4.047047704,"GIN"
"Guyana",1966,2.664648586,86.575553584,"GUY"
"Haiti",1966,0.629642402,-0.151702826,"HTI"
"Honduras",1966,2.646710904,4.133554614,"HND"
"Hungary",1966,3.663805048,-1.993333358,"HUN"
"India",1966,0.609295086,-0.178375236,"IND"
"Indonesia",1966,1.254568152,1.167168065,"IDN"
"Iran, Islamic Republic of",1966,1.037740646,0.482196624,"IRN"
"Israel",1966,3.473499566,-3.082130412,"ISR"
"Italy",1966,3.2479522,-2.170031191,"ITA"
"Jamaica",1966,1.65547967,-1.038502036,"JAM"
"Japan",1966,3.798282928,-2.877057703,"JPN"
"Jordan",1966,1.476921523,-0.867714283,"JOR"
"Kenya",1966,1.658444603,-0.0538744469999999,"KEN"
"Korea, Democratic People's Republic of",1966,1.74684165,-0.514385587,"PRK"
"Korea, Republic of",1966,1.07376383,0.179135028,"KOR"
"Lao People's Democratic Republic",1966,1.685666716,1.687425415,"LAO"
"Lebanon",1966,1.839933288,-1.412799525,"LBN"
"Lesotho",1966,1.392516907,0.730805901,"LSO"
"Liberia",1966,1.127145363,7.95914099,"LBR"
"Luxembourg",1966,12.93057,-10.796605461,"LUX"
"Madagascar",1966,2.116965739,7.077534223,"MDG"
"Malawi",1966,0.908051858,0.195704228,"MWI"
"Malaysia",1966,1.522904816,3.804360954,"MYS"
"Mali",1966,1.571241014,1.489849967,"MLI"
"Malta",1966,2.225917561,-1.455833082,"MLT"
"Martinique",1966,1.594924987,-0.992161229,"MTQ"
