"country","year","footprint","deficit","id"
"Afghanistan",1968,1.215360299,-0.070214132,"AFG"
"Albania",1968,1.875602411,-0.437148597,"ALB"
"Algeria",1968,0.692616977,0.585026878,"DZA"
"Angola",1968,1.049204222,7.67863672,"AGO"
"Argentina",1968,3.594982499,5.247787312,"ARG"
"Australia",1968,8.755644434,17.008826726,"AUS"
"Austria",1968,4.073396073,-0.793896167,"AUT"
"Barbados",1968,2.298280034,-1.917864081,"BRB"
"Belgium",1968,6.912938839,-6.063401838,"BEL"
"Benin",1968,1.262444036,1.425720669,"BEN"
"Bermuda",1968,5.478357943,-5.313590432,"BMU"
"Bolivia",1968,2.27539397,41.75143192,"BOL"
"Botswana",1968,2.67743477,8.75198462,"BWA"
"Brazil",1968,2.399871606,16.270996004,"BRA"
"Bulgaria",1968,4.156907329,-1.931462521,"BGR"
"Burkina Faso",1968,1.343517592,0.648454114,"BFA"
"Burundi",1968,1.174692332,-0.330910645,"BDI"
"Cabo Verde",1968,0.439310074,0.629532396,"CPV"
"Cambodia",1968,1.446871473,0.142491633,"KHM"
"Cameroon",1968,1.32334665,3.743600996,"CMR"
"Canada",1968,9.419900509,14.674780031,"CAN"
"Central African Republic",1968,1.3602336,18.97793989,"CAF"
"Chad",1968,2.187516131,4.739903864,"TCD"
"Chile",1968,2.489524743,3.173117548,"CHL"
"China",1968,0.930475371,-0.00337532600000001,"CHN"
"Colombia",1968,2.174291409,6.610650725,"COL"
"Comoros",1968,0.626624204,-0.0115875529999999,"COM"
"Congo",1968,0.974795254,37.487029226,"COG"
"Congo, Democratic Republic of",1968,1.012309351,10.767667469,"COD"
"Costa Rica",1968,2.262820546,2.330547322,"CRI"
"Cote d'Ivoire",1968,1.634251669,4.067789006,"CIV"
"Cuba",1968,1.819265387,-0.99068272,"CUB"
"Cyprus",1968,2.643059076,-1.802796674,"CYP"
"Czechoslovakia",1968,5.997873335,-3.638068163,"CSHH"
"Denmark",1968,8.674588492,-4.088671236,"DNK"
"Djibouti",1968,1.878083356,1.209666185,"DJI"
"Dominica",1968,0.814820017,0.263581371,"DMA"
"Dominican Republic",1968,1.008622739,-0.096625339,"DOM"
