"name","total","id"
"Afghanistan",0.708986617,"AFG"
"Albania",1.929248543,"ALB"
"Algeria",1.896024152,"DZA"
"Angola",0.810105877,"AGO"
"Antigua and Barbuda",4.506491019,"ATG"
"Argentina",2.997188427,"ARG"
"Armenia",1.582594391,"ARM"
"Aruba",14.24786766,"ABW"
"Australia",9.056096982,"AUS"
"Austria",6.156401754,"AUT"
"Azerbaijan",2.348336456,"AZE"
"Bahamas",4.681610829,"BHS"
"Bahrain",11.60173189,"BHR"
"Bangladesh",0.606279285,"BGD"
"Barbados",4.851884951,"BRB"
"Belarus",4.161413214,"BLR"
"Belgium",7.640016695,"BEL"
"Benin",1.092400567,"BEN"
"Bermuda",6.896586932,"BMU"
"Bhutan",4.218811848,"BTN"
"Bolivia",2.600174787,"BOL"
"Bosnia and Herzegovina",3.037622619,"BIH"
"Botswana",3.351724369,"BWA"
"Brazil",2.677846257,"BRA"
"Brunei Darussalam",4.335828142,"BRN"
"Bulgaria",3.716669417,"BGR"
"Burkina Faso",1.275127242,"BFA"
"Burundi",0.881182278,"BDI"
"Cabo Verde",1.982555999,"CPV"
"Cambodia",1.036149807,"KHM"
"Cameroon",1.030469419,"CMR"
"Canada",9.241410565,"CAN"
"Cayman Islands",4.700726909,"CYM"
"Central African Republic",1.296871689,"CAF"
"Chad",1.501060849,"TCD"
"Chile",3.722723375,"CHL"
"China",2.622727635,"CHN"
"Colombia",1.925830799,"COL"
"Comoros",1.024760832,"COM"
"Congo",1.007136243,"COG"
"Congo, Democratic Republic of",0.842425962,"COD"
"Costa Rica",2.231051286,"CRI"
"Cote d'Ivoire",1.055529661,"CIV"
"Croatia",4.280564375,"HRV"
"Cuba",1.919613703,"CUB"
"Cyprus",5.631343338,"CYP"
"Czech Republic",6.14286086,"CZE"
"Denmark",8.24463162,"DNK"
"Djibouti",1.667351242,"DJI"
"Dominica",2.404469197,"DMA"
"Dominican Republic",1.496686375,"DOM"
"Ecuador",1.88304447,"ECU"
"Egypt",1.815942063,"EGY"
"El Salvador",1.973708345,"SLV"
"Equatorial Guinea",3.511151806,"GNQ"
"Eritrea",0.874285152,"ERI"
"Estonia",7.310978592,"EST"
"Ethiopia",1.008773746,"ETH"
"Fiji",2.794459682,"FJI"
"Finland",7.878809508,"FIN"
"France",5.444669267,"FRA"
"French Guiana",2.406019703,"GUF"
"French Polynesia",4.990537449,"PYF"
"Gabon",2.385808593,"GAB"
"Gambia",1.12612464,"GMB"
"Georgia",1.476894051,"GEO"
"Germany",5.201154184,"DEU"
"Ghana",1.738244189,"GHA"
"Greece",6.125536382,"GRC"
"Grenada",2.969292589,"GRD"
"Guadeloupe",3.53834322,"GLP"
"Guatemala",1.824962981,"GTM"
"Guinea",1.420097564,"GIN"
"Guinea-Bissau",1.491748168,"GNB"
"Guyana",2.377401092,"GUY"
"Haiti",0.58256393,"HTI"
"Honduras",1.980252223,"HND"
"Hungary",4.341818615,"HUN"
"India",0.873382453,"IND"
"Indonesia",1.353642762,"IDN"
"Iran, Islamic Republic of",2.820423182,"IRN"
"Iraq",1.335420188,"IRQ"
"Ireland",5.90365621,"IRL"
"Israel",5.612710763,"ISR"
"Italy",5.813836766,"ITA"
"Jamaica",1.704100402,"JAM"
"Japan",5.155842766,"JPN"
"Jordan",2.426187108,"JOR"
"Kazakhstan",4.63898333,"KAZ"
"Kenya",1.074588628,"KEN"
"Korea, Democratic People's Republic of",3.089010267,"PRK"
"Korea, Republic of",5.607532902,"KOR"
"Kuwait",9.792055519,"KWT"
"Kyrgyzstan",1.205519051,"KGZ"
"Lao People's Democratic Republic",1.276666984,"LAO"
"Latvia",5.224955674,"LVA"
"Lebanon",3.48322788,"LBN"
"Lesotho",1.5794564,"LSO"
"Liberia",1.318309856,"LBR"
"Libyan Arab Jamahiriya",3.436406669,"LBY"
"Lithuania",4.634144087,"LTU"
"Luxembourg",15.33845588,"LUX"
"Macedonia TFYR",3.280489736,"MKD"
"Madagascar",1.091153896,"MDG"
"Malawi",0.642519667,"MWI"
"Malaysia",4.08514075,"MYS"
"Mali",1.591303119,"MLI"
"Malta",5.785266976,"MLT"
"Martinique",3.767697839,"MTQ"
"Mauritania",2.590639977,"MRT"
"Mauritius",3.094733868,"MUS"
"Mexico",2.643016987,"MEX"
"Micronesia, Federated States of",3.062085787,"FSM"
"Moldova",1.963051164,"MDA"
"Mongolia",6.849232531,"MNG"
"Morocco",1.467415644,"MAR"
"Mozambique",0.824947066,"MOZ"
"Myanmar",1.32625758,"MMR"
"Namibia",3.020314452,"NAM"
"Nepal",0.926221508,"NPL"
"Netherlands",6.773241538,"NLD"
"New Zealand",6.032830766,"NZL"
"Nicaragua",1.712221548,"NIC"
"Niger",1.630546109,"NER"
"Nigeria",1.326806493,"NGA"
"Norway",6.284509728,"NOR"
"Oman",4.902030573,"OMN"
"Pakistan",0.864203361,"PAK"
"Panama",2.631920045,"PAN"
"Papua New Guinea",2.0745091,"PNG"
"Paraguay",2.974306435,"PRY"
"Peru",1.960764325,"PER"
"Philippines",1.288667987,"PHL"
"Poland",4.400834838,"POL"
"Portugal",4.737564345,"PRT"
"Qatar",12.72378945,"QAT"
"Reunion",3.550760758,"REU"
"Romania",3.360501068,"ROU"
"Russian Federation",5.073663595,"RUS"
"Rwanda",0.679059171,"RWA"
"Saint Lucia",3.129700282,"LCA"
"Samoa",2.217824481,"WSM"
"Sao Tome and Principe",1.43959162,"STP"
"Senegal",1.339334984,"SEN"
"Serbia and Montenegro",3.134200107,"SCG"
"Sierra Leone",1.110037887,"SLE"
"Singapore",6.732297467,"SGP"
"Slovakia",4.733861347,"SVK"
"Slovenia",5.427044901,"SVN"
"Somalia",1.371266823,"SOM"
"South Africa",3.416399851,"ZAF"
"Spain",5.754090126,"ESP"
"Sri Lanka",1.273277629,"LKA"
"Sudan (former)",2.052866947,""
"Suriname",2.907886326,"SUR"
"Swaziland",2.224979432,"SWZ"
"Sweden",8.456229141,"SWE"
"Switzerland",5.590850809,"CHE"
"Syrian Arab Republic",2.276846131,"SYR"
"Tajikistan",0.882168921,"TJK"
"Tanzania, United Republic of",1.247258809,"TZA"
"Thailand",2.456760153,"THA"
"Timor-Leste",0.523490167,"TLS"
"Togo",0.97878361,"TGO"
"Tonga",2.072805001,"TON"
"Trinidad and Tobago",7.040807437,"TTO"
"Tunisia",2.102972646,"TUN"
"Turkey",2.994326423,"TUR"
"Turkmenistan",5.031652078,"TKM"
"Uganda",1.561921924,"UGA"
"Ukraine",3.452305559,"UKR"
"United Arab Emirates",11.86529928,"ARE"
"United Kingdom",6.126083965,"GBR"
"United States of America",10.40351066,"USA"
"Uruguay",3.300325558,"URY"
"Uzbekistan",2.13572052,"UZB"
"Venezuela, Bolivarian Republic of",2.832723333,"VEN"
"Viet Nam",1.268813896,"VNM"
"World",2.761044662,"WORLD"
"Yemen",0.97629225,"YEM"
"Zambia",0.867290079,"ZMB"
"Zimbabwe",1.244629701,"ZWE"
