"country","footprint","country_3_code"
"Armenia",4367186.735,"ARM"
"Afghanistan",14556109.86,"AFG"
"Albania",5835673.662,"ALB"
"Algeria",61248002.31,"DZA"
"Angola",14249168,"AGO"
"Antigua and Barbuda",355525.9022,"ATG"
"Argentina",123126615.5,"ARG"
"Australia",180388440.9,"AUS"
"Austria",49797185.01,"AUT"
"Bahamas",1381070.058,"BHS"
"Bahrain",8047430.763,"BHR"
"Barbados",1143325.075,"BRB"
"Bangladesh",81834649.88,"BGD"
"Bermuda",438180.9054,"BMU"
"Bhutan",2575171.041,"BTN"
"Bolivia",22655197.21,"BOL"
"Botswana",5596952.321,"BWA"
"Brazil",525815014.8,"BRA"
"Aruba",1438865.781,"ABW"
"Brunei Darussalam",1926784.909,"BRN"
"Bulgaria",32144286.75,"BGR"
"Myanmar",63218406.15,"MMR"
"Burundi",7905672.375,"BDI"
"Cameroon",17823086.48,"CMR"
"Canada",288766439.9,"CAN"
"Cabo Verde",779887.6451,"CPV"
"Cayman Islands",203875.8129,"CYM"
"Central African Republic",5499031.073,"CAF"
"Sri Lanka",25489599.94,"LKA"
"Chad",14271670.35,"TCD"
"Chile",58902739.45,"CHL"
"Colombia",80887728.69,"COL"
"Comoros",665121.1349,"COM"
"Congo",3526991.164,"COG"
"Costa Rica",9926631.082,"CRI"
"Cuba",21184331.34,"CUB"
"Cyprus",5682359.472,"CYP"
"Azerbaijan",18801805.39,"AZE"
"Benin",9035130.083,"BEN"
"Denmark",44522402.58,"DNK"
"Dominica",163791.5205,"DMA"
"Dominican Republic",12656222.41,"DOM"
"Belarus",40974705.86,"BLR"
"Ecuador",24386782.3,"ECU"
"Egypt",118903046.7,"EGY"
"El Salvador",11628743.62,"SLV"
"Equatorial Guinea",2243688.519,"GNQ"
"Estonia",11867408.86,"EST"
"Fiji",2455046.809,"FJI"
"Finland",35909225.7,"FIN"
"France",338627809.1,"FRA"
"French Guiana",519751.9778,"GUF"
"French Polynesia",1282124.925,"PYF"
"Djibouti",1159287.338,"DJI"
"Georgia",6003752.306,"GEO"
"Gabon",3552178.523,"GAB"
"Gambia",1699450.523,"GMB"
"Germany",437261752.9,"DEU"
"Bosnia and Herzegovina",11587216.14,"BIH"
"Ghana",36071584.25,"GHA"
"Greece",67885160.47,"GRC"
"Grenada",280677.8138,"GRD"
"Guadeloupe",1695406.053,"GLP"
"Guatemala",23172434.64,"GTM"
"Guinea",13241150.25,"GIN"
"Guyana",1815547.971,"GUY"
"Haiti",5418565.738,"HTI"
"Honduras",12835420.23,"HND"
"Hungary",48239766.59,"HUN"
"Croatia",18515546.95,"HRV"
"India",968398734.5,"IND"
"Indonesia",312617456.6,"IDN"
"Iran, Islamic Republic of",189256551.3,"IRN"
"Iraq",32911782.35,"IRQ"
"Ireland",23658585.96,"IRL"
"Israel",39767616.87,"ISR"
"Italy",342003206.7,"ITA"
"Cote d'Ivoire",18674051.03,"CIV"
"Kazakhstan",63120688.29,"KAZ"
"Jamaica",4259671.432,"JAM"
"Japan",650212929.9,"JPN"
"Jordan",12488118.73,"JOR"
"Kyrgyzstan",5895079.145,"KGZ"
"Kenya",35114837.81,"KEN"
"Cambodia",12337216.18,"KHM"
"Korea, Democratic People's Republic of",71371862.31,"PRK"
"Korea, Republic of",264730428.5,"KOR"
"Kuwait",17154668.59,"KWT"
"Latvia",11018537.68,"LVA"
"Lao People's Democratic Republic",7155262.699,"LAO"
"Lebanon",14241743.23,"LBN"
"Lesotho",2907220.764,"LSO"
"Liberia",4119851.615,"LBR"
"Libyan Arab Jamahiriya",20478399.1,"LBY"
"Lithuania",16197992.99,"LTU"
"Madagascar",18269143.04,"MDG"
"Malawi",8830027.152,"MWI"
"Malaysia",99341877.2,"MYS"
"Mali",18739999.44,"MLI"
"Malta",2064760.794,"MLT"
"Martinique",1490278.691,"MTQ"
"Mauritania",8393081.149,"MRT"
"Mauritius",3537960.908,"MUS"
"Mexico",306925387.5,"MEX"
"Mongolia",15447139.98,"MNG"
"Morocco",47592702.56,"MAR"
"Mozambique",18554770.66,"MOZ"
"Micronesia, Federated States of",345645.2361,"FSM"
"Moldova",7901554.268,"MDA"
"Namibia",5449180.878,"NAM"
"Nepal",23424778.12,"NPL"
"Netherlands",105389441.2,"NLD"
"Macedonia TFYR",6625901.16,"MKD"
"New Zealand",23518605.49,"NZL"
"Nicaragua",8689869.556,"NIC"
"Niger",17793572.31,"NER"
"Nigeria",176650126.5,"NGA"
"Norway",29646762.47,"NOR"
"Pakistan",125237426.2,"PAK"
"Panama",7634665.137,"PAN"
"Czech Republic",75423852.19,"CZE"
"Papua New Guinea",12304546.31,"PNG"
"Paraguay",19478423.76,"PRY"
"Peru",52694259.94,"PER"
"Philippines",110960716.8,"PHL"
"Poland",173903778.7,"POL"
"Portugal",48582556.61,"PRT"
"Guinea-Bissau",2168313.9,"GNB"
"Timor-Leste",508193.7229,"TLS"
"Eritrea",3380161.221,"ERI"
"Qatar",6648835.821,"QAT"
"Zimbabwe",16448125.39,"ZWE"
"Reunion",2537536.469,"REU"
"Romania",75954760.56,"ROU"
