"name","total","id"
"Afghanistan",0.716812844,"AFG"
"Albania",1.665522722,"ALB"
"Algeria",1.487366475,"DZA"
"Angola",0.775340438,"AGO"
"Antigua and Barbuda",4.283499998,"ATG"
"Argentina",3.525097523,"ARG"
"Armenia",1.730092359,"ARM"
"Aruba",11.11918904,"ABW"
"Australia",7.379363153,"AUS"
"Austria",5.041871417,"AUT"
"Bahamas",5.516134687,"BHS"
"Bahrain",9.850527569,"BHR"
"Bangladesh",0.487128994,"BGD"
"Barbados",3.221406601,"BRB"
"Belarus",5.595561824,"BLR"
"Belgium",7.080821441,"BEL"
"Benin",1.113216628,"BEN"
"Bermuda",7.510270622,"BMU"
"Bhutan",4.414261953,"BTN"
"Bolivia",2.362838861,"BOL"
"Bosnia and Herzegovina",1.860407078,"BIH"
"Botswana",2.088170604,"BWA"
"Brazil",2.886029345,"BRA"
"Brunei Darussalam",3.333206386,"BRN"
"Bulgaria",3.511019106,"BGR"
"Burkina Faso",1.404026124,"BFA"
"Burundi",1.037941116,"BDI"
"Cabo Verde",1.808427752,"CPV"
"Cambodia",0.916043346,"KHM"
"Cameroon",1.027575297,"CMR"
"Canada",8.215159668,"CAN"
"Central African Republic",1.664446078,"CAF"
"Chad",1.550401607,"TCD"
"Chile",3.515733372,"CHL"
"China",1.626407878,"CHN"
"Colombia",2.082403486,"COL"
"Comoros",1.414787623,"COM"
"Congo",1.174181277,"COG"
"Congo, Democratic Republic of",1.010392174,"COD"
"Costa Rica",2.669043262,"CRI"
"Cote d'Ivoire",1.15234742,"CIV"
"Croatia",1.998977369,"HRV"
"Cuba",1.83764464,"CUB"
"Cyprus",5.161910189,"CYP"
"Czechoslovakia",5.784469134,"CSHH"
"Denmark",8.232139226,"DNK"
"Djibouti",1.129161472,"DJI"
"Dominica",1.991721284,"DMA"
"Dominican Republic",1.22920583,"DOM"
"Ecuador",1.859021463,"ECU"
"Egypt",1.42636408,"EGY"
"El Salvador",1.457824247,"SLV"
"Equatorial Guinea",1.060097899,"GNQ"
"Estonia",5.854932704,"EST"
"Ethiopia PDR",1.227516732,"ETH"
"Fiji",2.024427838,"FJI"
"Finland",5.662302594,"FIN"
"France",5.562156658,"FRA"
"French Polynesia",3.811454777,"PYF"
"Gabon",1.598726083,"GAB"
"Gambia",1.142215534,"GMB"
"Germany",6.178308351,"DEU"
"Ghana",1.268403362,"GHA"
"Greece",4.865779846,"GRC"
"Guadeloupe",3.669657444,"GLP"
"Guatemala",1.441547164,"GTM"
"Guinea",1.230468327,"GIN"
"Guinea-Bissau",1.764480181,"GNB"
"Guyana",1.859441725,"GUY"
"Haiti",0.594990972,"HTI"
"Honduras",1.658602983,"HND"
"Hungary",3.191283182,"HUN"
"India",0.801536108,"IND"
"Indonesia",1.259955668,"IDN"
"Iran, Islamic Republic of",1.668416864,"IRN"
"Iraq",1.620339968,"IRQ"
"Ireland",5.916773879,"IRL"
"Israel",4.887673286,"ISR"
"Italy",5.321412412,"ITA"
"Jamaica",1.447793812,"JAM"
"Japan",5.534345716,"JPN"
"Jordan",1.932997584,"JOR"
"Kazakhstan",10.30041086,"KAZ"
"Kenya",1.333018771,"KEN"
"Korea, Democratic People's Republic of",3.126940538,"PRK"
"Korea, Republic of",4.152516482,"KOR"
"Kyrgyzstan",2.209700493,"KGZ"
"Lao People's Democratic Republic",1.173743017,"LAO"
"Latvia",3.642306174,"LVA"
"Lebanon",3.685770153,"LBN"
"Lesotho",1.290250833,"LSO"
"Liberia",1.199926213,"LBR"
"Libyan Arab Jamahiriya",2.434928483,"LBY"
"Lithuania",3.840494068,"LTU"
"Luxembourg",13.27969848,"LUX"
"Macedonia TFYR",2.625105832,"MKD"
"Madagascar",1.438137981,"MDG"
"Malawi",0.676924679,"MWI"
"Malaysia",3.401725633,"MYS"
"Mali",1.479969649,"MLI"
"Malta",6.314545856,"MLT"
"Martinique",2.95082739,"MTQ"
"Mauritania",2.269649654,"MRT"
"Mauritius",2.440872412,"MUS"
"Mexico",2.539046035,"MEX"
"Moldova",2.404217977,"MDA"
"Mongolia",6.519442369,"MNG"
"Morocco",1.179349983,"MAR"
"Mozambique",0.83892028,"MOZ"
"Myanmar",0.828342626,"MMR"
"Namibia",3.087862652,"NAM"
"Nepal",0.823887347,"NPL"
"Netherlands",6.295171033,"NLD"
"New Zealand",4.904725241,"NZL"
"Nicaragua",1.675275739,"NIC"
"Niger",1.826287097,"NER"
"Nigeria",1.118635317,"NGA"
"Norway",6.407875195,"NOR"
"Oman",2.870893274,"OMN"
"Pakistan",0.746688438,"PAK"
"Panama",2.58492166,"PAN"
"Papua New Guinea",1.392208725,"PNG"
"Paraguay",3.759685482,"PRY"
"Peru",1.642993554,"PER"
"Philippines",1.179114124,"PHL"
"Poland",4.281472483,"POL"
"Portugal",4.455212963,"PRT"
"Qatar",9.434259366,"QAT"
"Reunion",2.986261899,"REU"
"Romania",3.299738145,"ROU"
"Russian Federation",6.909131102,"RUS"
"Rwanda",0.839640376,"RWA"
"Saint Lucia",2.855048991,"LCA"
"Samoa",2.161536937,"WSM"
"Sao Tome and Principe",1.147764293,"STP"
"Senegal",1.273095691,"SEN"
"Serbia and Montenegro",2.711321093,"SCG"
"Sierra Leone",1.119424213,"SLE"
"Singapore",5.710273095,"SGP"
"Slovenia",3.31871517,"SVN"
"Somalia",1.542038245,"SOM"
"South Africa",3.245440106,"ZAF"
"Spain",4.784973006,"ESP"
"Sri Lanka",1.023575256,"LKA"
"Sudan (former)",1.923461386,""
"Swaziland",2.180369852,"SWZ"
