"country","footprint","country_3_code"
"Afghanistan",10859145.84,"AFG"
"Albania",3136784.078,"ALB"
"Algeria",9560825.076,"DZA"
"Angola",5101628.446,"AGO"
"Argentina",66950688.14,"ARG"
"Australia",78865244.25,"AUS"
"Austria",26420663.98,"AUT"
"Barbados",415135.3069,"BRB"
"Bermuda",187892.6581,"BMU"
"Bolivia",8415404.719,"BOL"
"Brazil",188435430.2,"BRA"
"Bulgaria",21819094.73,"BGR"
"Myanmar",14031532.51,"MMR"
"Burundi",3188131.209,"BDI"
"Cameroon",7257497.411,"CMR"
"Canada",165222301.3,"CAN"
"Cabo Verde",110572.3703,"CPV"
"Central African Republic",1780976.385,"CAF"
"Sri Lanka",8519935.889,"LKA"
"Chad",6891650.163,"TCD"
"Chile",19953660.06,"CHL"
"Colombia",37652929.04,"COL"
"Comoros",107756.6148,"COM"
"Congo",988824.2131,"COG"
"Costa Rica",3112971.676,"CRI"
"Cuba",11980776.62,"CUB"
"Cyprus",1153313.227,"CYP"
"Czechoslovakia",75558541.89,"CSHH"
"Benin",3293345.645,"BEN"
"Denmark",29827188.05,"DNK"
"Dominica",42669.331,"DMA"
"Dominican Republic",3575724.118,"DOM"
"Ecuador",5758422.78,"ECU"
"Egypt",26049183.79,"EGY"
"El Salvador",3245992.844,"SLV"
"Ethiopia PDR",46856629.03,"ETH"
"Fiji",518140.278,"FJI"
"Finland",28639217.43,"FIN"
"France",213490235.4,"FRA"
"Djibouti",187382.434,"DJI"
"Gabon",621566.8202,"GAB"
"Gambia",443112.1824,"GMB"
"Germany",342804948.9,"DEU"
"Ghana",7967106.719,"GHA"
"Greece",15462273.68,"GRC"
"Guadeloupe",384127.2532,"GLP"
"Guatemala",5803571.469,"GTM"
"Guinea",6200226.657,"GIN"
"Guyana",1309461.412,"GUY"
"Haiti",2465332.004,"HTI"
"Honduras",5859899.628,"HND"
"Hungary",31144674.45,"HUN"
"India",289493609.9,"IND"
"Indonesia",131671302.3,"IDN"
"Iran, Islamic Republic of",22031211.07,"IRN"
"Israel",5686968.321,"ISR"
"Italy",129879027.4,"ITA"
"Cote d'Ivoire",5655984.212,"CIV"
"Jamaica",2682953.261,"JAM"
"Japan",286013759.4,"JPN"
"Jordan",1442822.72,"JOR"
"Kenya",14573373.9,"KEN"
"Cambodia",8877657.896,"KHM"
"Korea, Democratic People's Republic of",15882340,"PRK"
"Korea, Republic of",20945224.52,"KOR"
"Lao People's Democratic Republic",3484952.797,"LAO"
"Lebanon",3156994.273,"LBN"
"Liberia",1184951.286,"LBR"
"Madagascar",10899000.08,"MDG"
"Malaysia",12310124.25,"MYS"
"Mali",7494862.886,"MLI"
"Malta",572009.7911,"MLT"
"Martinique",380875.2756,"MTQ"
"Mauritania",3296879.642,"MRT"
"Mauritius",636837.3288,"MUS"
"Mexico",72506796.42,"MEX"
"Mongolia",6683752.248,"MNG"
"Morocco",13386781.43,"MAR"
"Mozambique",6268190.517,"MOZ"
"Namibia",1854433.959,"NAM"
"Nepal",8942545.853,"NPL"
"Netherlands",45410277.16,"NLD"
"New Zealand",11510679.06,"NZL"
"Nicaragua",4622534.888,"NIC"
"Niger",6113608.526,"NER"
"Nigeria",43015870.45,"NGA"
"Norway",26633167.59,"NOR"
"Pakistan",25446223.27,"PAK"
"Panama",2646065.841,"PAN"
"Papua New Guinea",2558898.614,"PNG"
"Paraguay",7334784.957,"PRY"
"Peru",29401862.64,"PER"
"Philippines",26579689.09,"PHL"
"Poland",121316545.8,"POL"
"Portugal",21353096.14,"PRT"
"Timor-Leste",230318.8817,"TLS"
"Zimbabwe",7185451.3,"ZWE"
"Reunion",384657.9956,"REU"
"Romania",48338450.98,"ROU"
"Rwanda",2796433.411,"RWA"
"Saint Lucia",67747.17626,"LCA"
"Sao Tome and Principe",45538.74588,"STP"
"Senegal",5432797.806,"SEN"
"Sierra Leone",3616624.454,"SLE"
"Somalia",7269389.864,"SOM"
"South Africa",48813972.62,"ZAF"
"Spain",77064452.55,"ESP"
"Sudan (former)",18977142.81,""
"Sweden",56784269.07,"SWE"
"Switzerland",25900219.05,"CHE"
"Syrian Arab Republic",5491064.581,"SYR"
"Thailand",24822290.43,"THA"
"Togo",2335497.219,"TGO"
"Tonga",55622.17457,"TON"
"Trinidad and Tobago",1193930.344,"TTO"
"Tunisia",3774860.004,"TUN"
"Turkey",45584803.66,"TUR"
"Uganda",13763380.22,"UGA"
"USSR",889982464.3,"SUUH"
"United Kingdom",336313970.2,"GBR"
"United States of America",1576471059,"USA"
"Burkina Faso",5628137.507,"BFA"
"Uruguay",13284844.08,"URY"
"Venezuela, Bolivarian Republic of",17323459.91,"VEN"
"Viet Nam",23315669.77,"VNM"
"Samoa",158556.5741,"WSM"
"Yugoslav SFR",40663713.33,"YUG"
"Yemen",5252838.865,"YEM"
"Congo, Democratic Republic of",15139475.14,"COD"
"Belgium",56134026.52,"BEL"
"Luxembourg",5267031.354,"LUX"
"China",619868944.8,"CHN"
"World",7265995925,"WORLD"
