"country","footprint","country_3_code"
"Armenia",3671166.697,"ARM"
"Afghanistan",10539803.89,"AFG"
"Albania",3898181.182,"ALB"
"Algeria",41066190.57,"DZA"
"Angola",9532365.782,"AGO"
"Antigua and Barbuda",282875.8768,"ATG"
"Argentina",117491916.8,"ARG"
"Australia",117723587,"AUS"
"Austria",41580586.36,"AUT"
"Bahamas",1433991.884,"BHS"
"Bahrain",5456396.897,"BHR"
"Barbados",778635.2226,"BRB"
"Bangladesh",53867520.86,"BGD"
"Bermuda",491154.6688,"BMU"
"Bhutan",2348451.651,"BTN"
"Bolivia",17927524.67,"BOL"
"Botswana",3589756.335,"BWA"
"Brazil",477856733.1,"BRA"
"Aruba",867502.0478,"ABW"
"Brunei Darussalam",1140772.507,"BRN"
"Bulgaria",30491052.53,"BGR"
"Myanmar",38202841.28,"MMR"
"Burundi",5825608.774,"BDI"
"Cameroon",13728736.19,"CMR"
"Canada",235501684.4,"CAN"
"Cabo Verde",676264.4332,"CPV"
"Central African Republic",5175947.749,"CAF"
"Sri Lanka",20760279.19,"LKA"
"Chad",10257157.56,"TCD"
"Chile",51116330.34,"CHL"
"Colombia",79535112.08,"COL"
"Comoros",668930.8774,"COM"
"Congo",2690058.302,"COG"
"Costa Rica",9225269.521,"CRI"
"Cuba",18507027.56,"CUB"
"Cyprus",4361599.351,"CYP"
"Benin",6055750.526,"BEN"
"Denmark",42842407.84,"DNK"
"Dominica",145377.8179,"DMA"
"Dominican Republic",9780615.578,"DOM"
"Belarus",43946999.68,"BLR"
"Ecuador",22624210.25,"ECU"
"Egypt",88084732.47,"EGY"
"El Salvador",7932716.741,"SLV"
"Equatorial Guinea",367291.2099,"GNQ"
"Estonia",6779708.075,"EST"
"Fiji",1836359.057,"FJI"
"Finland",31124434.72,"FIN"
"France",311859416.1,"FRA"
"French Guiana",473054.5168,"GUF"
"French Polynesia",869632.4595,"PYF"
"Djibouti",847317.5208,"DJI"
"Gabon",1888985.122,"GAB"
"Gambia",1164609.899,"GMB"
"Germany",482536802.6,"DEU"
"Bosnia and Herzegovina",4407018.211,"BIH"
"Ghana",21628874.67,"GHA"
"Greece",51139299.8,"GRC"
"Guadeloupe",1236530.762,"GLP"
"Guatemala",15340289.67,"GTM"
"Guinea",8904449.73,"GIN"
"Guyana",1649724.095,"GUY"
"Haiti",4081777.501,"HTI"
"Honduras",9283989.139,"HND"
"Hungary",40998619.29,"HUN"
"Croatia",10164549.73,"HRV"
