"country","footprint","country_3_code"
"Armenia",3848103.934,"ARM"
"Afghanistan",15954511.65,"AFG"
"Albania",5392147.818,"ALB"
"Algeria",58755412.63,"DZA"
"Angola",13784530.03,"AGO"
"Antigua and Barbuda",351127.1714,"ATG"
"Argentina",119385925.2,"ARG"
"Australia",164838321,"AUS"
"Austria",48052176.34,"AUT"
"Bahamas",1250544.893,"BHS"
"Bahrain",8119067.379,"BHR"
"Barbados",1256225.858,"BRB"
"Bangladesh",80813836.1,"BGD"
"Bermuda",431826.6032,"BMU"
"Bhutan",2608753.169,"BTN"
"Bolivia",22412905.93,"BOL"
"Botswana",5659533.103,"BWA"
"Brazil",546714512.6,"BRA"
"Aruba",1408927.568,"ABW"
"Brunei Darussalam",1478962.362,"BRN"
"Bulgaria",27402288.52,"BGR"
"Myanmar",57863985.23,"MMR"
"Burundi",6698572.215,"BDI"
"Cameroon",17173268.36,"CMR"
"Canada",278446518.5,"CAN"
"Cabo Verde",723267.2957,"CPV"
"Cayman Islands",218396.0491,"CYM"
"Central African Republic",5292679.5,"CAF"
"Sri Lanka",25339964.37,"LKA"
"Chad",14630324.07,"TCD"
"Chile",54080887.47,"CHL"
"Colombia",81642457.28,"COL"
"Comoros",649696.1476,"COM"
"Congo",3298352.818,"COG"
"Costa Rica",9848255.398,"CRI"
"Cuba",20413980.64,"CUB"
"Cyprus",5503150.605,"CYP"
"Azerbaijan",18083365.6,"AZE"
"Benin",8894198.224,"BEN"
"Denmark",44491374.62,"DNK"
"Dominica",160726.0849,"DMA"
"Dominican Republic",13249008.23,"DOM"
"Belarus",38620416.22,"BLR"
"Ecuador",24014648.29,"ECU"
"Egypt",112940983.8,"EGY"
"El Salvador",11247402.93,"SLV"
"Equatorial Guinea",2307823.289,"GNQ"
"Estonia",12271232.4,"EST"
"Fiji",2154358.756,"FJI"
"Finland",37456303.82,"FIN"
"France",312853935.7,"FRA"
"French Guiana",489521.529,"GUF"
"French Polynesia",1238321.678,"PYF"
"Djibouti",1033925.845,"DJI"
"Gabon",3557380.234,"GAB"
"Gambia",1636883.957,"GMB"
"Germany",430389289.1,"DEU"
"Bosnia and Herzegovina",11514088.2,"BIH"
"Ghana",33924746.78,"GHA"
"Greece",66436109.49,"GRC"
"Grenada",440470.4617,"GRD"
"Guadeloupe",1548945.076,"GLP"
"Guatemala",22191507.42,"GTM"
"Guinea",13092784.3,"GIN"
"Guyana",1854731.482,"GUY"
"Haiti",5113227.258,"HTI"
"Honduras",12495713.26,"HND"
"Hungary",38463255.2,"HUN"
"Croatia",17364089.01,"HRV"
"India",937255270.3,"IND"
"Indonesia",298979898.5,"IDN"
"Iran, Islamic Republic of",179129909.6,"IRN"
"Iraq",32078295.27,"IRQ"
"Ireland",22873573.42,"IRL"
"Israel",35101628.82,"ISR"
"Italy",330888178.4,"ITA"
"Cote d'Ivoire",18728979.88,"CIV"
"Kazakhstan",61761698.23,"KAZ"
"Jamaica",4729046.38,"JAM"
"Japan",655329889.6,"JPN"
"Jordan",10085741.53,"JOR"
"Kyrgyzstan",6055272.036,"KGZ"
"Kenya",34669507.04,"KEN"
"Cambodia",12236575.95,"KHM"
"Korea, Democratic People's Republic of",68077018.86,"PRK"
"Korea, Republic of",258254011.1,"KOR"
"Kuwait",14570382.91,"KWT"
"Latvia",10205876.3,"LVA"
"Lao People's Democratic Republic",6890736.614,"LAO"
"Lebanon",13409700.46,"LBN"
"Lesotho",3084677.536,"LSO"
"Liberia",3986401.483,"LBR"
"Libyan Arab Jamahiriya",16500092.88,"LBY"
"Lithuania",14488809.34,"LTU"
"Madagascar",17839428.77,"MDG"
"Malawi",8933220.494,"MWI"
"Malaysia",86706008.51,"MYS"
"Mali",19714024.75,"MLI"
"Malta",2257529.274,"MLT"
"Martinique",1379331.528,"MTQ"
"Mauritania",7860857.972,"MRT"
"Mauritius",3322875.388,"MUS"
"Mexico",287026902.3,"MEX"
"Mongolia",14820191.21,"MNG"
"Morocco",44513988.92,"MAR"
"Mozambique",17000286.74,"MOZ"
"Micronesia, Federated States of",337320.4518,"FSM"
"Moldova",7325034.226,"MDA"
"Namibia",5749744.168,"NAM"
"Nepal",22473836.92,"NPL"
"Netherlands",106999718.6,"NLD"
"Macedonia TFYR",6139097.522,"MKD"
"New Zealand",25905681.76,"NZL"
"Nicaragua",9230186.743,"NIC"
"Niger",19830596.99,"NER"
"Nigeria",167150889.4,"NGA"
"Norway",27803841.17,"NOR"
"Pakistan",116355852.3,"PAK"
"Panama",7401997.082,"PAN"
"Czech Republic",57688172.39,"CZE"
"Papua New Guinea",8283829.781,"PNG"
"Paraguay",22061786.08,"PRY"
"Peru",47498368.17,"PER"
"Philippines",106005672,"PHL"
"Poland",161463685.2,"POL"
"Portugal",46025671.32,"PRT"
"Guinea-Bissau",2117883.476,"GNB"
"Timor-Leste",479578.2022,"TLS"
"Eritrea",3368760.931,"ERI"
"Qatar",6404504.869,"QAT"
"Zimbabwe",15543215.94,"ZWE"
"Reunion",2441778.513,"REU"
"Romania",65553010.57,"ROU"
"Rwanda",6091569.423,"RWA"
"Russian Federation",716828811.7,"RUS"
"Serbia and Montenegro",30361836.7,"SCG"
"Saint Lucia",452654.3745,"LCA"
"Sao Tome and Principe",219486.9922,"STP"
"Senegal",13790231.28,"SEN"
"Sierra Leone",5355727.056,"SLE"
"Slovenia",9850754.099,"SVN"
"Slovakia",21254656.92,"SVK"
"Singapore",26101884.14,"SGP"
"Somalia",11407725.27,"SOM"
"South Africa",157053397,"ZAF"
"Spain",247019046.6,"ESP"
"Sudan (former)",76517715.48,""
"Suriname",1210655.453,"SUR"
"Tajikistan",5481051.903,"TJK"
"Swaziland",2661318.641,"SWZ"
"Sweden",61306860.54,"SWE"
"Switzerland",38537739.01,"CHE"
"Syrian Arab Republic",32232711.72,"SYR"
"Turkmenistan",21497599.84,"TKM"
"Tanzania, United Republic of",45054809.27,"TZA"
"Thailand",144622055.7,"THA"
"Togo",5682288.519,"TGO"
"Tonga",211912.0642,"TON"
"Trinidad and Tobago",8238918.315,"TTO"
"Oman",13485424.13,"OMN"
"Tunisia",21285750.46,"TUN"
"Turkey",184847230,"TUR"
"United Arab Emirates",48210579,"ARE"
"Uganda",40816691.94,"UGA"
"United Kingdom",354565748.9,"GBR"
"Ukraine",166374980.1,"UKR"
"United States of America",2904593302,"USA"
"Burkina Faso",15117786.46,"BFA"
"Uruguay",13015667.93,"URY"
"Uzbekistan",56492576.34,"UZB"
"Venezuela, Bolivarian Republic of",69721053.82,"VEN"
"Viet Nam",93836604.64,"VNM"
"Ethiopia",73873906.26,"ETH"
"Samoa",442500.8872,"WSM"
"Yemen",17506392.33,"YEM"
"Congo, Democratic Republic of",45388683.65,"COD"
"Zambia",9120772.488,"ZMB"
"Belgium",78971250.72,"BEL"
"Luxembourg",7614269.534,"LUX"
"China",2948780453,"CHN"
"World",16687391658,"WORLD"
