"name","total","id"
"Uganda",1.608909576,"UGA"
"Ukraine",3.087750926,"UKR"
"United Arab Emirates",13.86596798,"ARE"
"United Kingdom",5.529578144,"GBR"
"United States of America",10.37004621,"USA"
"Uruguay",4.44267899,"URY"
"Uzbekistan",2.374863437,"UZB"
"Venezuela, Bolivarian Republic of",2.978505011,"VEN"
"Viet Nam",0.938128747,"VNM"
"World",2.568462115,"WORLD"
"Yemen",0.841179293,"YEM"
"Zambia",0.917235244,"ZMB"
"Zimbabwe",1.389291259,"ZWE"
