"country","footprint","country_3_code"
"Afghanistan",12728522.64,"AFG"
"Albania",3489331.214,"ALB"
"Algeria",8579386.336,"DZA"
"Angola",6350332.883,"AGO"
"Argentina",84606896.08,"ARG"
"Australia",90427261.63,"AUS"
"Austria",29591819.67,"AUT"
"Barbados",534321.5068,"BRB"
"Bermuda",256989.9933,"BMU"
"Bolivia",9494157.421,"BOL"
"Botswana",1279783.484,"BWA"
"Brazil",212109048.9,"BRA"
"Bulgaria",33924475.44,"BGR"
"Myanmar",16785728.58,"MMR"
"Burundi",3688382.885,"BDI"
"Cameroon",8216040.118,"CMR"
"Canada",194598609.5,"CAN"
"Cabo Verde",132148.3379,"CPV"
"Central African Republic",2243980.903,"CAF"
"Sri Lanka",10409277.28,"LKA"
"Chad",7483352.626,"TCD"
"Chile",21459476.09,"CHL"
"Colombia",42718063.28,"COL"
"Comoros",129626.7842,"COM"
"Congo",1148330.747,"COG"
"Costa Rica",3792329.288,"CRI"
"Cuba",14391311.57,"CUB"
"Cyprus",1509716.718,"CYP"
"Czechoslovakia",81650552.5,"CSHH"
"Benin",3482833.06,"BEN"
"Denmark",35959158.63,"DNK"
"Dominica",51960.56398,"DMA"
"Dominican Republic",3738765.119,"DOM"
"Ecuador",6962317.804,"ECU"
"Egypt",28617152.47,"EGY"
"El Salvador",3845183.253,"SLV"
"Ethiopia PDR",49487739.16,"ETH"
"Fiji",657481.8142,"FJI"
"Finland",32806693.95,"FIN"
"France",250096631.4,"FRA"
"French Polynesia",307315.1374,"PYF"
"Djibouti",236837.2041,"DJI"
"Gabon",569537.2054,"GAB"
"Gambia",476302.1134,"GMB"
"Germany",371626070.9,"DEU"
"Ghana",9225597.104,"GHA"
"Greece",21388514.73,"GRC"
"Guadeloupe",469683.4757,"GLP"
"Guatemala",6594982.901,"GTM"
"Guinea",6491718.971,"GIN"
"Guyana",1762666.757,"GUY"
"Haiti",2811022.798,"HTI"
"Honduras",6252318.963,"HND"
"Hungary",37838839.66,"HUN"
"India",328581113,"IND"
"Indonesia",126885865.8,"IDN"
"Iran, Islamic Republic of",25053775.19,"IRN"
"Ireland",12961515.07,"IRL"
"Israel",8836013.795,"ISR"
"Italy",184352366.4,"ITA"
"Cote d'Ivoire",7026594.973,"CIV"
"Jamaica",3255790.094,"JAM"
"Japan",425966993.3,"JPN"
"Jordan",1797201.911,"JOR"
"Kenya",16197768.06,"KEN"
"Cambodia",9228379.169,"KHM"
"Korea, Democratic People's Republic of",23738951.13,"PRK"
"Korea, Republic of",33582508.4,"KOR"
"Lao People's Democratic Republic",4332162.817,"LAO"
"Lebanon",4139575.684,"LBN"
"Lesotho",1407188.88,"LSO"
"Liberia",1444210.031,"LBR"
"Madagascar",12858185.05,"MDG"
"Malawi",4075746.652,"MWI"
"Malaysia",16174677.74,"MYS"
"Mali",9265804.01,"MLI"
"Malta",748797.0709,"MLT"
"Martinique",556158.5561,"MTQ"
"Mauritania",3868038.182,"MRT"
"Mauritius",827091.991,"MUS"
"Mexico",91858923.86,"MEX"
"Mongolia",8375299.03,"MNG"
"Morocco",15315090.88,"MAR"
"Mozambique",7227246.264,"MOZ"
"Namibia",1356174.438,"NAM"
"Nepal",9411540.045,"NPL"
"Netherlands",57790936.2,"NLD"
"New Zealand",15483937.91,"NZL"
"Nicaragua",5571846.891,"NIC"
"Niger",8874259.727,"NER"
"Nigeria",48815763.22,"NGA"
"Norway",39653152.5,"NOR"
"Pakistan",33100099.12,"PAK"
"Panama",2805113.036,"PAN"
"Papua New Guinea",3204484.68,"PNG"
"Paraguay",7700279.214,"PRY"
"Peru",33848455.5,"PER"
"Philippines",34893689.45,"PHL"
"Poland",145086788.3,"POL"
"Portugal",25716340.01,"PRT"
"Timor-Leste",267724.1354,"TLS"
"Zimbabwe",7724000.73,"ZWE"
"Reunion",426025.4654,"REU"
"Romania",63640350.21,"ROU"
"Rwanda",3640094.447,"RWA"
"Saint Lucia",94159.5774,"LCA"
"Sao Tome and Principe",54299.14235,"STP"
"Senegal",7026846.353,"SEN"
"Sierra Leone",3715134.832,"SLE"
"Somalia",7483936.635,"SOM"
"South Africa",71571997.05,"ZAF"
"Spain",100447704.4,"ESP"
"Sudan (former)",25984498.43,""
"Sweden",66675860.04,"SWE"
"Switzerland",28767336.44,"CHE"
"Syrian Arab Republic",6129362.659,"SYR"
"Tanzania, United Republic of",19704757.16,"TZA"
"Thailand",30970865.21,"THA"
"Togo",2588787.435,"TGO"
"Tonga",80692.689,"TON"
"Trinidad and Tobago",1173045.601,"TTO"
"Tunisia",4414955.158,"TUN"
"Turkey",58488795.78,"TUR"
"Uganda",16757303.74,"UGA"
"USSR",1110603463,"SUUH"
"United Kingdom",360979011.6,"GBR"
"United States of America",1926270505,"USA"
"Burkina Faso",7303928.197,"BFA"
"Uruguay",13206615.79,"URY"
"Venezuela, Bolivarian Republic of",22381021.85,"VEN"
"Viet Nam",29450478.79,"VNM"
"Samoa",183801.4204,"WSM"
"Yugoslav SFR",49523885.59,"YUG"
"Yemen",5321950.375,"YEM"
"Congo, Democratic Republic of",17958870.02,"COD"
"Zambia",7425415.621,"ZMB"
"Belgium",61586692.61,"BEL"
"Luxembourg",5476081.708,"LUX"
"China",719466059.9,"CHN"
"World",8754634835,"WORLD"
