"name","total","id"
"Afghanistan",0.809518364,"AFG"
"Albania",2.230987301,"ALB"
"Algeria",2.41715815,"DZA"
"Angola",1.155509186,"AGO"
"Antigua and Barbuda",4.562812143,"ATG"
"Argentina",3.283842514,"ARG"
"Armenia",2.139383176,"ARM"
"Aruba",8.18627175,"ABW"
"Australia",7.994168172,"AUS"
"Austria",5.953911891,"AUT"
"Azerbaijan",2.250334027,"AZE"
"Bahamas",5.715574217,"BHS"
"Bahrain",7.703467807,"BHR"
"Bangladesh",0.744648914,"BGD"
"Barbados",3.621037404,"BRB"
"Belarus",4.808532531,"BLR"
"Belgium",7.214606024,"BEL"
"Benin",1.268006996,"BEN"
"Bermuda",6.960034063,"BMU"
"Bhutan",4.687342459,"BTN"
"Bolivia",3.14253657,"BOL"
"Bosnia and Herzegovina",3.244432132,"BIH"
"Botswana",3.126443554,"BWA"
"Brazil",3.058741492,"BRA"
"Brunei Darussalam",5.046887636,"BRN"
"Bulgaria",3.382529688,"BGR"
"Burkina Faso",1.23542321,"BFA"
"Burundi",0.597965135,"BDI"
"Cabo Verde",1.539967862,"CPV"
"Cambodia",1.307601308,"KHM"
"Cameroon",1.212456894,"CMR"
"Canada",8.221188215,"CAN"
"Cayman Islands",5.409963133,"CYM"
"Central African Republic",1.231929326,"CAF"
"Chad",1.683663184,"TCD"
"Chile",4.258116257,"CHL"
"China",3.634253303,"CHN"
"Colombia",1.911185591,"COL"
"Comoros",1.001595571,"COM"
"Congo",1.218490969,"COG"
"Congo, Democratic Republic of",0.775505813,"COD"
"Costa Rica",2.563637554,"CRI"
"Cote d'Ivoire",1.231565191,"CIV"
"Croatia",3.998282686,"HRV"
"Cuba",2.010793637,"CUB"
"Cyprus",4.101581038,"CYP"
"Czech Republic",5.318920507,"CZE"
"Denmark",6.240909362,"DNK"
"Djibouti",2.480577545,"DJI"
"Dominica",2.590891707,"DMA"
"Dominican Republic",1.573305129,"DOM"
"Ecuador",1.969049295,"ECU"
"Egypt",2.019371944,"EGY"
"El Salvador",2.017273547,"SLV"
"Equatorial Guinea",3.122174068,"GNQ"
"Eritrea",0.521356909,"ERI"
"Estonia",6.948521304,"EST"
"Ethiopia",1.029950985,"ETH"
"Fiji",3.35467502,"FJI"
"Finland",5.852239602,"FIN"
"France",4.962961393,"FRA"
"French Guiana",2.64530244,"GUF"
"French Polynesia",4.198649374,"PYF"
"Gabon",2.382246688,"GAB"
"Gambia",0.999475164,"GMB"
"Georgia",1.793850239,"GEO"
"Germany",5.155236643,"DEU"
"Ghana",1.99151516,"GHA"
"Greece",4.505713442,"GRC"
"Grenada",3.04476048,"GRD"
"Guadeloupe",4.253190824,"GLP"
"Guatemala",1.761605211,"GTM"
"Guinea",1.499134713,"GIN"
"Guinea-Bissau",1.50714609,"GNB"
"Guyana",3.300947739,"GUY"
"Haiti",0.620048636,"HTI"
"Honduras",1.732468513,"HND"
"Hungary",2.943081044,"HUN"
"India",1.076147392,"IND"
"Indonesia",1.504430594,"IDN"
"Iran, Islamic Republic of",3.032055026,"IRN"
"Iraq",1.873455808,"IRQ"
"Ireland",4.505495038,"IRL"
"Israel",6.220643355,"ISR"
"Italy",4.616463651,"ITA"
"Jamaica",1.768253104,"JAM"
"Japan",4.814291952,"JPN"
"Jordan",2.265384413,"JOR"
"Kazakhstan",5.530192735,"KAZ"
"Kenya",1.078025222,"KEN"
"Korea, Democratic People's Republic of",3.083853443,"PRK"
"Korea, Republic of",5.862227612,"KOR"
"Kuwait",8.125639582,"KWT"
"Kyrgyzstan",1.795786441,"KGZ"
"Lao People's Democratic Republic",1.396735565,"LAO"
"Latvia",4.840716165,"LVA"
"Lebanon",3.582151042,"LBN"
"Lesotho",1.656729913,"LSO"
"Liberia",1.19587364,"LBR"
"Libyan Arab Jamahiriya",4.036620872,"LBY"
"Lithuania",5.378588042,"LTU"
"Luxembourg",13.42935907,"LUX"
"Macedonia TFYR",3.441733432,"MKD"
"Madagascar",0.999226725,"MDG"
"Malawi",0.845134512,"MWI"
"Malaysia",4.110238908,"MYS"
"Mali",1.55803045,"MLI"
"Malta",5.101312109,"MLT"
"Martinique",4.560086637,"MTQ"
"Mauritania",2.492806213,"MRT"
"Mauritius",3.295357134,"MUS"
"Mexico",2.885740864,"MEX"
"Micronesia, Federated States of",5.205992374,"FSM"
"Moldova",1.673716347,"MDA"
"Mongolia",8.641681231,"MNG"
"Montenegro",3.717669731,"MNE"
"Morocco",1.727344601,"MAR"
"Mozambique",0.935813595,"MOZ"
"Myanmar",1.380870256,"MMR"
"Namibia",2.663955612,"NAM"
"Nepal",1.007278063,"NPL"
"Netherlands",6.361640126,"NLD"
"New Zealand",5.242107347,"NZL"
"Nicaragua",1.467593862,"NIC"
"Niger",1.548515286,"NER"
"Nigeria",1.19288138,"NGA"
"Norway",5.354712815,"NOR"
"Oman",6.627083866,"OMN"
"Pakistan",0.76522681,"PAK"
"Panama",2.511922855,"PAN"
"Papua New Guinea",1.699466427,"PNG"
"Paraguay",3.269425886,"PRY"
"Peru",2.226306299,"PER"
"Philippines",1.167409313,"PHL"
"Poland",4.461157837,"POL"
"Portugal",3.728745999,"PRT"
"Qatar",14.77800939,"QAT"
"Reunion",4.595939068,"REU"
"Romania",2.804827631,"ROU"
"Russian Federation",5.515160782,"RUS"
"Rwanda",0.853792927,"RWA"
"Saint Lucia",2.340363031,"LCA"
"Samoa",2.556783989,"WSM"
"Sao Tome and Principe",1.630718411,"STP"
"Senegal",1.195888042,"SEN"
"Serbia",2.922151934,"SRB"
"Sierra Leone",1.241737088,"SLE"
"Singapore",7.534836927,"SGP"
"Slovakia",4.204804341,"SVK"
"Slovenia",4.876792634,"SVN"
"Somalia",1.227117556,"SOM"
"South Africa",3.444272069,"ZAF"
"South Sudan",1.603661889,"SSD"
"Spain",3.800841337,"ESP"
"Sri Lanka",1.498609262,"LKA"
"Sudan",1.007520117,"SDN"
"Suriname",4.494056205,"SUR"
"Swaziland",2.427227214,"SWZ"
"Sweden",6.284601857,"SWE"
"Switzerland",5.098662881,"CHE"
"Syrian Arab Republic",1.718110346,"SYR"
"Tajikistan",0.968786926,"TJK"
"Tanzania, United Republic of",1.327042557,"TZA"
"Thailand",2.737383142,"THA"
"Timor-Leste",0.496401925,"TLS"
"Togo",1.091768966,"TGO"
"Tonga",3.016145954,"TON"
"Trinidad and Tobago",7.993598727,"TTO"
"Tunisia",2.269032574,"TUN"
"Turkey",3.386764595,"TUR"
"Turkmenistan",5.505117253,"TKM"
"Uganda",1.231916605,"UGA"
"Ukraine",2.878953033,"UKR"
"United Arab Emirates",9.177878726,"ARE"
"United Kingdom",4.904506994,"GBR"
"United States of America",8.23050768,"USA"
"Uruguay",2.696139604,"URY"
"Uzbekistan",2.298946636,"UZB"
"Venezuela, Bolivarian Republic of",3.612341756,"VEN"
"Viet Nam",1.612090766,"VNM"
"World",2.83615111,"WORLD"
"Yemen",0.949203237,"YEM"
"Zambia",0.978372061,"ZMB"
"Zimbabwe",1.173113346,"ZWE"
