"name","footprint","id"
"Armenia",3294021.456,"ARM"
"Afghanistan",11871665.06,"AFG"
"Albania",4023080.65,"ALB"
"Algeria",42464537.69,"DZA"
"Angola",9551011.247,"AGO"
"Antigua and Barbuda",305178.5232,"ATG"
"Argentina",126535620.7,"ARG"
"Australia",145476258.5,"AUS"
"Austria",47474726.92,"AUT"
"Bahamas",1400093.95,"BHS"
"Bahrain",5608495.392,"BHR"
"Barbados",838645.6736,"BRB"
"Bangladesh",60993732.97,"BGD"
"Bermuda",471538.4602,"BMU"
"Bhutan",2395065.514,"BTN"
"Bolivia",18761644.9,"BOL"
"Botswana",3675748.184,"BWA"
"Brazil",507282715.7,"BRA"
"Aruba",907114.1101,"ABW"
"Brunei Darussalam",1499197.097,"BRN"
"Bulgaria",26323351.68,"BGR"
"Myanmar",41905967.39,"MMR"
"Burundi",6203382.249,"BDI"
"Cameroon",14399550.78,"CMR"
"Canada",257197789.5,"CAN"
"Cabo Verde",634874.07,"CPV"
"Cayman Islands",188442.8417,"CYM"
"Central African Republic",5170110.648,"CAF"
"Sri Lanka",22048210.8,"LKA"
"Chad",10833256.15,"TCD"
"Chile",56864102.41,"CHL"
"Colombia",81527100.26,"COL"
"Comoros",640738.3173,"COM"
"Congo",2342573.135,"COG"
"Costa Rica",11536558.83,"CRI"
"Cuba",19434830.94,"CUB"
"Cyprus",4334146.699,"CYP"
"Azerbaijan",15174848.24,"AZE"
"Benin",7044722.522,"BEN"
"Denmark",42828430.47,"DNK"
"Dominica",152637.0614,"DMA"
"Dominican Republic",11205517.79,"DOM"
"Belarus",48865859.06,"BLR"
"Ecuador",25050105.39,"ECU"
"Egypt",96873672.03,"EGY"
"El Salvador",8313427.104,"SLV"
"Equatorial Guinea",408305.2356,"GNQ"
"Estonia",7953446.511,"EST"
"Fiji",1931978.52,"FJI"
"Finland",32528004.23,"FIN"
"France",314466231,"FRA"
"French Guiana",440986.3254,"GUF"
"French Polynesia",893519.5816,"PYF"
"Djibouti",867147.0739,"DJI"
"Gabon",1279149.096,"GAB"
"Gambia",1181102.859,"GMB"
"Germany",473713457.4,"DEU"
"Bosnia and Herzegovina",5428337.593,"BIH"
"Ghana",23500631.93,"GHA"
"Greece",55374065.91,"GRC"
"Guadeloupe",1313687.766,"GLP"
"Guatemala",15902659.37,"GTM"
"Guinea",11227013.08,"GIN"
"Guyana",1799523.643,"GUY"
"Haiti",4744090.03,"HTI"
"Honduras",10215803.92,"HND"
"Hungary",38958456.05,"HUN"
"Croatia",11870500.25,"HRV"
"India",814681602.9,"IND"
"Indonesia",272931645.7,"IDN"
"Iran, Islamic Republic of",123702172.9,"IRN"
"Iraq",38345120.81,"IRQ"
"Ireland",24102326.82,"IRL"
"Israel",29213115.76,"ISR"
"Italy",290210951.5,"ITA"
"Cote d'Ivoire",15363149.09,"CIV"
"Kazakhstan",65045949.12,"KAZ"
"Jamaica",4149009.295,"JAM"
"Japan",714692318.4,"JPN"
"Jordan",7596612.035,"JOR"
"Kyrgyzstan",5436731.195,"KGZ"
"Kenya",33316957.87,"KEN"
"Cambodia",10285681.89,"KHM"
"Korea, Democratic People's Republic of",54275967.04,"PRK"
"Korea, Republic of",229587160,"KOR"
"Latvia",9296469.725,"LVA"
"Lao People's Democratic Republic",5618523.783,"LAO"
"Lebanon",13774597.99,"LBN"
"Lesotho",2425696.112,"LSO"
"Liberia",2224598.767,"LBR"
"Libyan Arab Jamahiriya",13952343.81,"LBY"
"Lithuania",13650165.58,"LTU"
"Madagascar",18275584.19,"MDG"
"Malawi",7677174.64,"MWI"
"Malaysia",81845831.49,"MYS"
"Mali",13653894.32,"MLI"
"Malta",2725270.682,"MLT"
"Martinique",1276744.933,"MTQ"
"Mauritania",5035276.586,"MRT"
"Mauritius",2804158.804,"MUS"
"Mexico",281521283.9,"MEX"
"Mongolia",15089996.6,"MNG"
"Morocco",40820840.6,"MAR"
"Mozambique",14048101.5,"MOZ"
"Micronesia, Federated States of",174138.5364,"FSM"
"Moldova",7868923.844,"MDA"
"Namibia",4253903.54,"NAM"
"Nepal",18475464.07,"NPL"
"Netherlands",97357457.36,"NLD"
"Macedonia TFYR",6133719.951,"MKD"
"New Zealand",19040462.32,"NZL"
"Nicaragua",7620856.735,"NIC"
"Niger",13866416.88,"NER"
"Nigeria",127718890.2,"NGA"
"Norway",30166380.19,"NOR"
"Pakistan",100692589.8,"PAK"
"Panama",6912605.022,"PAN"
"Czech Republic",61028363.14,"CZE"
"Papua New Guinea",5925418.725,"PNG"
"Paraguay",22465742.38,"PRY"
"Peru",47801172.1,"PER"
"Philippines",94938449.41,"PHL"
"Poland",187031346.9,"POL"
"Portugal",42203387.17,"PRT"
"Guinea-Bissau",1970826.595,"GNB"
"Timor-Leste",497305.6947,"TLS"
"Eritrea",3108577.129,"ERI"
"Qatar",5934319.119,"QAT"
"Zimbabwe",17959979.64,"ZWE"
"Reunion",1929797.74,"REU"
"Romania",69594722.5,"ROU"
"Rwanda",4898707.962,"RWA"
"Russian Federation",703652993.2,"RUS"
"Serbia and Montenegro",31455351.39,"SCG"
"Saint Lucia",469620.482,"LCA"
"Sao Tome and Principe",160807.9147,"STP"
"Senegal",11525107.07,"SEN"
"Sierra Leone",4604765.837,"SLE"
"Slovenia",9393827.715,"SVN"
"Slovakia",23682746.85,"SVK"
"Singapore",24180933.55,"SGP"
"Somalia",9634214.372,"SOM"
"South Africa",140978589.3,"ZAF"
"Spain",194374373.1,"ESP"
"Sudan (former)",61860114.43,""
"Tajikistan",4641838.92,"TJK"
"Swaziland",1730518.202,"SWZ"
"Sweden",54742748.32,"SWE"
"Switzerland",39512672.69,"CHE"
"Syrian Arab Republic",26377458.07,"SYR"
"Turkmenistan",12156107.6,"TKM"
"Tanzania, United Republic of",38956180.46,"TZA"
"Thailand",135518631.7,"THA"
"Togo",5066199.669,"TGO"
