"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Mozambique",1961,7643290.04102181,6.545071167,0.827157419,5.717913748,"MOZ",6.91272757760494,1379.22080030355
"Mozambique",1962,7799399.90369253,6.408917682,0.803676,5.605241682,"MOZ",6.97450425295766,1401.22042499714
"Mozambique",1963,7961459.96110317,6.276704948,0.796341983,5.480362965,"MOZ",6.88192127251859,1387.07291043923
"Mozambique",1964,8129270.0185739,6.152603924,0.812505043,5.340098881,"MOZ",6.57238899452926,1339.65724689694
"Mozambique",1965,8302740.23159369,6.012999914,0.81517161,5.197828304,"MOZ",6.37636089137551,1312.15972830138
"Mozambique",1966,8482370.11871875,5.905559666,0.851434548,5.054125118,"MOZ",5.93601171904592,1244.8935871168
"Mozambique",1967,8668530.27759938,5.784221823,0.833733751,4.950488072,"MOZ",5.93773218742001,1251.46962133477
"Mozambique",1968,8860820.31502525,5.694912808,0.864347279,4.830565529,"MOZ",5.58868583265083,1185.35626851614
"Mozambique",1969,9058690.4244045,5.538555483,0.896880565,4.641674918,"MOZ",5.17535431137656,1120.79528620086
"Mozambique",1970,9262080.08071778,5.443210754,0.904528331,4.538682423,"MOZ",5.01773404989098,1094.95689624084
"Mozambique",1971,9468839.84788771,5.340661018,0.933766735,4.406894283,"MOZ",4.71948112949412,1048.33614961853
"Mozambique",1972,9679749.99620654,5.252264905,0.896872311,4.355392594,"MOZ",4.8562014904463,1065.27198183064
"Mozambique",1973,9901049.80549596,5.155164011,0.947891113,4.207272898,"MOZ",4.43856146555232,999.604042400018
"Mozambique",1974,10141099.6130346,5.012616422,0.91107123,4.101545192,"MOZ",4.50189317805238,1014.24336179214
"Mozambique",1975,10405000.0009546,4.840390718,0.885224551,3.955166167,"MOZ",4.46798035210499,1027.09250077325
"Mozambique",1976,10693700.1977955,4.707215173,0.865841692,3.841373481,"MOZ",4.43657711334531,1038.92538866516
"Mozambique",1977,11001900.387672,4.56663354,0.874666798,3.691966742,"MOZ",4.22099791600642,1011.41752392454
"Mozambique",1978,11320099.6147349,4.436505544,0.861009971,3.575495573,"MOZ",4.15267597356593,1024.2644099604
"Mozambique",1979,11635200.1916455,4.316064089,0.840810587,3.475253502,"MOZ",4.13321798036324,1028.71150873336
"Mozambique",1980,11936400.388788,4.214113655,0.884575659,3.329537996,"MOZ",3.76399437606075,960.676131454888
"Mozambique",1981,12228500.0051469,4.116951711,0.87333893,3.243612781,"MOZ",3.714036796025,965.514250080925
"Mozambique",1982,12511900.3990839,4.017140355,0.854304753,3.162835602,"MOZ",3.70223316081099,979.804730167734
"Mozambique",1983,12766900.3861944,3.910081631,0.843666061,3.06641557,"MOZ",3.63463167478224,968.38829977286
"Mozambique",1984,12968299.8147182,3.829598787,0.840446665,2.989152122,"MOZ",3.55662303153787,971.920123524788
"Mozambique",1985,13103000.0097925,3.775295667,0.838502163,2.936793504,"MOZ",3.5024278648285,964.523380105622
"Mozambique",1986,13155299.8050841,3.753757821,0.830244326,2.923513495,"MOZ",3.52126900479774,960.116429712315
"Mozambique",1987,13142500.0038218,3.748738354,0.859539598,2.889198756,"MOZ",3.36133291590056,912.419028087828
"Mozambique",1988,13124299.8015021,3.737520394,0.849495717,2.888024677,"MOZ",3.39969312381452,898.839279298294
"Mozambique",1989,13181900.3907929,3.730807056,0.84651231,2.884294746,"MOZ",3.4072685771961,900.172368156966
"Mozambique",1990,13371999.9944297,3.704566699,0.855966244,2.848600455,"MOZ",3.32793572923791,887.894711882315
"Mozambique",1991,13719900.393725,3.566022585,0.830174605,2.73584798,"MOZ",3.29550913747542,893.770834249807
"Mozambique",1992,14203999.9915129,3.453981412,0.83892028,2.615061132,"MOZ",3.11717467082392,885.178112980459
"Mozambique",1993,14775900.3916585,3.342141784,0.82933215,2.512809634,"MOZ",3.0299192289893,880.688763399034
"Mozambique",1994,15363099.6123764,3.207332814,0.805865746,2.401467068,"MOZ",2.97998427033189,900.914641521534
"Mozambique",1995,15913099.6062261,3.135223451,0.839569084,2.295654367,"MOZ",2.73432448859778,846.957130544704
"Mozambique",1996,16410800.7904996,3.076102936,0.856027788,2.220075148,"MOZ",2.59346149739529,831.935535387986
"Mozambique",1997,16872900.3926009,3.002581308,0.853534273,2.149047035,"MOZ",2.51782149821044,826.857475563665
"Mozambique",1998,17317400.3754555,2.950913569,0.872366498,2.078547071,"MOZ",2.38265347190659,803.390360398984
"Mozambique",1999,17774099.6044417,2.865562688,0.839837467,2.025725221,"MOZ",2.41204422284073,825.735818762558
"Mozambique",2000,18264500.0103312,2.754034981,0.803439031,1.95059595,"MOZ",2.42780843349651,851.560827710629
"Mozambique",2001,18792400.3772289,2.685113429,0.806685777,1.878427652,"MOZ",2.32857406192101,842.236174945685
"Mozambique",2002,19348699.2135763,2.602753739,0.790783507,1.811970232,"MOZ",2.29136070745027,848.19374059398
"Mozambique",2003,19928499.9987475,2.566782992,0.853064041,1.713718951,"MOZ",2.00889849999531,774.80204964692
"Mozambique",2004,20523199.2134001,2.497548889,0.904087636,1.593461253,"MOZ",1.76250762647336,737.293902587537
"Mozambique",2005,21126699.212965,2.379726469,0.824947066,1.554779403,"MOZ",1.88470190391602,793.421987591689
"Mozambique",2006,21737900.3967728,2.354728488,0.848187999,1.506540489,"MOZ",1.77618698920522,763.819441580168
"Mozambique",2007,22359599.6083102,2.27899887,0.803293895,1.475704975,"MOZ",1.8370673174538,799.776669746901
"Mozambique",2008,22994900.3956792,2.196749632,0.788636872,1.40811276,"MOZ",1.78550195913988,817.801787977458
