country,year,overshoot_day
Austria,1961,330.38881480695397
Austria,1962,318.02379687771901
Austria,1963,310.16159892427902
Austria,1964,295.40141596769701
Austria,1965,292.22878264862601
Austria,1966,292.96880991115802
Austria,1967,301.13735671970602
Austria,1968,293.86228213252798
Austria,1969,281.81123334359302
Austria,1970,252.71137498360599
Austria,1971,242.227271608379
Austria,1972,232.05364950827101
Austria,1973,220.95109452448
Austria,1974,235.74041755803
Austria,1975,253.260356784783
Austria,1976,233.46493006191599
Austria,1977,234.77419799855201
Austria,1978,238.30585153202099
Austria,1979,225.29890126751499
Austria,1980,225.590042731848
Austria,1981,242.615384828028
Austria,1982,250.594222214805
Austria,1983,259.711194358348
Austria,1984,253.23463656734199
Austria,1985,247.33029314883899
Austria,1986,249.76351840585801
Austria,1987,250.07496006871801
Austria,1988,254.270928473856
Austria,1989,242.59603581709601
Austria,1990,231.33656745024399
Austria,1991,217.03907408392899
Austria,1992,238.377625454775
Austria,1993,235.83498350322
Austria,1994,230.548387846255
Austria,1995,220.806666467372
Austria,1996,196.13137271417099
Austria,1997,210.52467085762001
Austria,1998,216.12541898022201
Austria,1999,215.62864115109201
Austria,2000,207.434642520083
Austria,2001,205.056342321801
Austria,2002,209.30713338235799
Austria,2003,192.15972145393999
Austria,2004,193.56466261726101
Austria,2005,185.48981124134801
Austria,2006,174.737211717555
Austria,2007,177.183252056208
Austria,2008,179.30606283173901
Austria,2009,190.928625569817
Austria,2010,178.24089132964801
Austria,2011,174.94717792677599
Austria,2012,179.362924373027
Austria,2013,175.97964678036601
Austria,2014,187.23411492511801
