country,year,overshoot_day
"Korea, Democratic People's Republic of",1974,132.08604219280301
"Korea, Democratic People's Republic of",1975,131.36195855486301
"Korea, Democratic People's Republic of",1976,125.180165066654
"Korea, Democratic People's Republic of",1977,120.382785149581
"Korea, Democratic People's Republic of",1978,116.129532872425
"Korea, Democratic People's Republic of",1979,108.63224022864
"Korea, Democratic People's Republic of",1980,103.75466630208599
"Korea, Democratic People's Republic of",1981,103.50965310106299
"Korea, Democratic People's Republic of",1982,98.403362565556094
"Korea, Democratic People's Republic of",1983,99.608941444167897
"Korea, Democratic People's Republic of",1984,98.398874329064796
"Korea, Democratic People's Republic of",1985,95.748795126165405
"Korea, Democratic People's Republic of",1986,98.960959085009307
"Korea, Democratic People's Republic of",1987,102.98900499486599
"Korea, Democratic People's Republic of",1988,100.79411289152399
"Korea, Democratic People's Republic of",1989,102.11900027917
"Korea, Democratic People's Republic of",1990,107.326625856199
"Korea, Democratic People's Republic of",1991,113.714206897436
"Korea, Democratic People's Republic of",1992,118.089898504819
"Korea, Democratic People's Republic of",1993,120.72736546770901
"Korea, Democratic People's Republic of",1994,118.335285875119
"Korea, Democratic People's Republic of",1995,105.218304367385
"Korea, Democratic People's Republic of",1996,104.034234510988
"Korea, Democratic People's Republic of",1997,103.48568594744
"Korea, Democratic People's Republic of",1998,110.04567738839999
"Korea, Democratic People's Republic of",1999,102.76805504517399
"Korea, Democratic People's Republic of",2000,92.165086156714594
"Korea, Democratic People's Republic of",2001,91.729025189672697
"Korea, Democratic People's Republic of",2002,92.863118903339398
"Korea, Democratic People's Republic of",2003,88.083429053814498
"Korea, Democratic People's Republic of",2004,85.785863476651102
"Korea, Democratic People's Republic of",2005,81.359986133092605
"Korea, Democratic People's Republic of",2006,78.453513162087106
"Korea, Democratic People's Republic of",2007,76.062139529175695
"Korea, Democratic People's Republic of",2008,73.628229881174406
"Korea, Democratic People's Republic of",2009,76.753095905034897
"Korea, Democratic People's Republic of",2010,74.665695375604898
"Korea, Democratic People's Republic of",2011,75.813366942581297
"Korea, Democratic People's Republic of",2012,72.428502706356895
"Korea, Democratic People's Republic of",2013,76.471145372440304
"Korea, Democratic People's Republic of",2014,75.263059506899793
"Korea, Republic of",1961,619.561550516068
"Korea, Republic of",1962,585.70007767813604
"Korea, Republic of",1963,506.55392922001499
"Korea, Republic of",1964,516.89409495017799
"Korea, Republic of",1965,478.03093141297001
"Korea, Republic of",1966,425.892612859005
"Korea, Republic of",1967,385.56346435991702
"Korea, Republic of",1968,342.07041141942602
"Korea, Republic of",1969,305.90022176240097
"Korea, Republic of",1970,291.08504399720903
"Korea, Republic of",1971,257.02213819923998
"Korea, Republic of",1972,245.85734745202501
"Korea, Republic of",1973,211.507838425476
"Korea, Republic of",1974,203.36314176160101
"Korea, Republic of",1975,200.57764259518601
"Korea, Republic of",1976,191.415102037499
"Korea, Republic of",1977,176.034698217775
"Korea, Republic of",1978,161.24496625543799
"Korea, Republic of",1979,146.699876042081
"Korea, Republic of",1980,146.589807279517
"Korea, Republic of",1981,151.14482760433501
"Korea, Republic of",1982,145.50136310185999
"Korea, Republic of",1983,137.049932969206
"Korea, Republic of",1984,138.27663856661499
"Korea, Republic of",1985,129.97611207866501
"Korea, Republic of",1986,126.31824916181399
"Korea, Republic of",1987,117.18553939717199
"Korea, Republic of",1988,113.09366475182399
"Korea, Republic of",1989,99.421702644094495
"Korea, Republic of",1990,84.243451208714802
"Korea, Republic of",1991,74.777519389622896
"Korea, Republic of",1992,73.118352865884404
"Korea, Republic of",1993,67.273790884178595
"Korea, Republic of",1994,62.747899451622999
"Korea, Republic of",1995,59.276243264187201
"Korea, Republic of",1996,57.855285029441497
"Korea, Republic of",1997,55.725278280946704
"Korea, Republic of",1998,72.389028171516102
"Korea, Republic of",1999,60.227377463176403
"Korea, Republic of",2000,55.4802557359533
"Korea, Republic of",2001,54.207046713642001
"Korea, Republic of",2002,50.641206397434601
"Korea, Republic of",2003,49.292267194916001
"Korea, Republic of",2004,49.906517988354302
"Korea, Republic of",2005,48.449610261022201
"Korea, Republic of",2006,46.4173727440931
"Korea, Republic of",2007,44.701712281494203
"Korea, Republic of",2008,45.542623931649203
"Korea, Republic of",2009,47.986919615615498
"Korea, Republic of",2010,43.0079789508925
"Korea, Republic of",2011,41.868380036103098
"Korea, Republic of",2012,41.765905520945303
"Korea, Republic of",2013,42.641763774080502
"Korea, Republic of",2014,43.052549611467398
