country,year,overshoot_day
Haiti,1961,270.28748598317799
Haiti,1962,273.926655604313
Haiti,1963,274.76802674525402
Haiti,1964,269.07151370618698
Haiti,1965,269.321056521591
Haiti,1966,277.05876321815299
Haiti,1967,278.00581815487601
Haiti,1968,274.40122325828702
Haiti,1969,273.18322044178302
Haiti,1970,269.81662321895101
Haiti,1971,271.13198833275698
Haiti,1972,267.92282508570503
Haiti,1973,264.17622309871399
Haiti,1974,256.73024042892598
Haiti,1975,257.119942116088
Haiti,1976,246.733667169955
Haiti,1977,230.27934309809999
Haiti,1978,244.21948865489901
Haiti,1979,233.68811279929201
Haiti,1980,236.57673083038301
Haiti,1981,235.57379522717599
Haiti,1982,235.258785786397
Haiti,1983,241.324700959643
Haiti,1984,240.03948070304099
Haiti,1985,234.46169781678901
Haiti,1986,233.364337642631
Haiti,1987,226.24964756319301
Haiti,1988,221.081216751179
Haiti,1989,219.818518399444
Haiti,1990,215.744135806835
Haiti,1991,210.71752732956199
Haiti,1992,204.77492470658601
Haiti,1993,203.34888830927301
Haiti,1994,204.315844800625
Haiti,1995,170.04959906596099
Haiti,1996,173.999366795322
Haiti,1997,173.63699923518899
Haiti,1998,163.58976053219499
Haiti,1999,163.13049569413499
Haiti,2000,166.44193553816399
Haiti,2001,162.89133787514001
Haiti,2002,156.70546367640401
Haiti,2003,158.27923487339001
Haiti,2004,156.062718476333
Haiti,2005,162.06345011983299
Haiti,2006,155.05466186581799
Haiti,2007,168.46572686408899
Haiti,2008,159.20675953846199
Haiti,2009,169.76315796334501
Haiti,2010,167.56278751883701
Haiti,2011,180.28567468935799
Haiti,2012,178.91449119265201
Haiti,2013,179.81173426953001
Haiti,2014,175.478921941594
