country,year,overshoot_day
Bangladesh,1971,321.14187331052199
Bangladesh,1972,313.111912135983
Bangladesh,1973,297.49243225817497
Bangladesh,1974,305.70854223164702
Bangladesh,1975,299.38600209015198
Bangladesh,1976,305.04062918107502
Bangladesh,1977,318.45513483194497
Bangladesh,1978,306.61643193474998
Bangladesh,1979,309.62201752536203
Bangladesh,1980,296.92306084210202
Bangladesh,1981,305.68775638878901
Bangladesh,1982,296.98853644471598
Bangladesh,1983,295.79850268149198
Bangladesh,1984,293.99378186341897
Bangladesh,1985,286.851722257034
Bangladesh,1986,292.85108154211298
Bangladesh,1987,287.47296766890003
Bangladesh,1988,265.30913508182101
Bangladesh,1989,276.095383120961
Bangladesh,1990,277.89607318305502
Bangladesh,1991,279.93965294913698
Bangladesh,1992,276.48674311476202
Bangladesh,1993,272.93842709673402
Bangladesh,1994,266.60518968145402
Bangladesh,1995,250.20764399122899
Bangladesh,1996,249.511166421562
Bangladesh,1997,242.36155967506099
Bangladesh,1998,246.45344807108
Bangladesh,1999,238.98071102531
Bangladesh,2000,246.39325676262101
Bangladesh,2001,233.69419118835501
Bangladesh,2002,237.478209045814
Bangladesh,2003,229.403080337131
Bangladesh,2004,223.124977413907
Bangladesh,2005,219.689795261565
Bangladesh,2006,211.868065608873
Bangladesh,2007,205.551162484412
Bangladesh,2008,216.533364274679
Bangladesh,2009,204.14171092836
Bangladesh,2010,198.681892764157
Bangladesh,2011,190.276180994051
Bangladesh,2012,191.461061411066
Bangladesh,2013,191.61623685640299
Bangladesh,2014,187.934943489115
