country,year,overshoot_day
Lesotho,1966,556.55541495080899
Lesotho,1967,519.63571119535902
Lesotho,1968,563.80509658512597
Lesotho,1969,515.13341425483804
Lesotho,1970,417.745776276573
Lesotho,1971,366.38727342812598
Lesotho,1972,378.76845903637098
Lesotho,1973,370.591514746087
Lesotho,1974,401.81514420719901
Lesotho,1975,329.11601936929401
Lesotho,1976,299.43803700884098
Lesotho,1977,318.69123481919002
Lesotho,1978,312.65397708392499
Lesotho,1979,304.50409030680498
Lesotho,1980,307.53687294374498
Lesotho,1981,320.97773763749097
Lesotho,1982,301.48480912798698
Lesotho,1983,286.96786029136302
Lesotho,1984,299.229674301702
Lesotho,1985,276.310510845804
Lesotho,1986,265.17335547650799
Lesotho,1987,251.231826733053
Lesotho,1988,236.94811444673101
Lesotho,1989,252.01697016339199
Lesotho,1990,278.42591007235399
Lesotho,1991,261.181914470788
Lesotho,1992,283.67275560546102
Lesotho,1993,282.81561444343902
Lesotho,1994,285.47127374487297
Lesotho,1995,298.00359905143898
Lesotho,1996,273.68415589273098
Lesotho,1997,288.21170238729701
Lesotho,1998,271.28412674974999
Lesotho,1999,214.807288434848
Lesotho,2000,217.07759441751099
Lesotho,2001,219.612274636954
Lesotho,2002,205.35212838686999
Lesotho,2003,200.485322748497
Lesotho,2004,211.45072303666299
Lesotho,2005,200.26669735514201
Lesotho,2006,196.01559175591899
Lesotho,2007,191.89417706707701
Lesotho,2008,186.74871332346601
Lesotho,2009,180.669750990729
Lesotho,2010,190.01087911110301
Lesotho,2011,182.63773068175701
Lesotho,2012,176.46574618581801
Lesotho,2013,203.00415634324199
Lesotho,2014,196.231246859306
