country,year,overshoot_day
Martinique,1961,166.502621168594
Martinique,1962,170.69830453048201
Martinique,1963,152.79585189898299
Martinique,1964,129.83478100448301
Martinique,1965,135.131365918618
Martinique,1966,137.94302135991899
Martinique,1967,117.444765319327
Martinique,1968,118.26898919656
Martinique,1969,106.06774966042801
Martinique,1970,95.176338631351996
Martinique,1971,97.409211213003601
Martinique,1972,85.417086081936205
Martinique,1973,79.670615194786606
Martinique,1974,80.930902467082205
Martinique,1975,87.527084099358405
Martinique,1976,86.662437343863004
Martinique,1977,88.226889718413304
Martinique,1978,95.026965294057604
Martinique,1979,70.490797484704501
Martinique,1980,58.290491943646501
Martinique,1981,65.043819765374906
Martinique,1982,65.575191784927796
Martinique,1983,79.199158305507794
Martinique,1984,56.506990428932298
Martinique,1985,64.554372032817398
Martinique,1986,63.5102754939793
Martinique,1987,54.4328353443317
Martinique,1988,54.2807449570684
Martinique,1989,59.792876378287197
Martinique,1990,58.369573550282396
Martinique,1991,62.0821033495208
Martinique,1992,60.253306761200903
Martinique,1993,57.931931868408398
Martinique,1994,50.870280595141502
Martinique,1995,49.528055335917998
Martinique,1996,51.939175675193397
Martinique,1997,53.173101119192097
Martinique,1998,56.954424478807702
Martinique,1999,56.142894899640801
Martinique,2000,56.108290810870301
Martinique,2001,52.598746440097102
Martinique,2002,52.988850560718099
Martinique,2003,48.948268354596799
Martinique,2004,44.406950061194998
Martinique,2005,41.222051837278201
Martinique,2006,38.403294779542001
Martinique,2007,35.004171504103603
Martinique,2008,35.830990996470597
Martinique,2009,37.048114463809597
Martinique,2010,34.3289152989081
Martinique,2011,32.270005222747798
Martinique,2012,29.963738350655898
Martinique,2013,30.508589318587099
Martinique,2014,30.7281983374628
