"name","footprint","id"
"Afghanistan",0.822860952,"AFG"
"Albania",2.183636214,"ALB"
"Algeria",2.154325157,"DZA"
"Angola",1.024078328,"AGO"
"Antigua and Barbuda",5.295467652,"ATG"
"Argentina",3.263983135,"ARG"
"Armenia",1.86515989,"ARM"
"Aruba",12.31200986,"ABW"
"Australia",8.337227648,"AUS"
"Austria",6.217916168,"AUT"
"Azerbaijan",1.928755937,"AZE"
"Bahamas",4.947812772,"BHS"
"Bahrain",10.67680714,"BHR"
"Bangladesh",0.748260744,"BGD"
"Barbados",4.025454085,"BRB"
"Belarus",4.57423992,"BLR"
"Belgium",7.164202118,"BEL"
"Benin",1.219729224,"BEN"
"Bermuda",6.871729814,"BMU"
"Bhutan",4.25122861,"BTN"
"Bolivia",2.89866987,"BOL"
"Bosnia and Herzegovina",3.13703267,"BIH"
"Botswana",2.771166741,"BWA"
"Brazil",2.982451918,"BRA"
"Brunei Darussalam",4.740897055,"BRN"
"Bulgaria",3.526337911,"BGR"
"Burkina Faso",1.304423089,"BFA"
"Burundi",0.824917461,"BDI"
"Cabo Verde",1.7629996,"CPV"
"Cambodia",1.178476124,"KHM"
"Cameroon",1.201326414,"CMR"
"Canada",8.306780168,"CAN"
"Cayman Islands",7.208527195,"CYM"
"Central African Republic",1.204784584,"CAF"
"Chad",1.728999334,"TCD"
"Chile",4.147189745,"CHL"
"China",3.404740085,"CHN"
"Colombia",2.040098634,"COL"
"Comoros",1.488014466,"COM"
"Congo",1.025661012,"COG"
"Congo, Democratic Republic of",0.791274749,"COD"
"Costa Rica",2.438431212,"CRI"
"Cote d'Ivoire",1.155838998,"CIV"
"Croatia",3.972815899,"HRV"
"Cuba",2.092151417,"CUB"
"Cyprus",5.235377961,"CYP"
"Czech Republic",6.205489765,"CZE"
"Denmark",6.775480481,"DNK"
"Djibouti",1.732904585,"DJI"
"Dominica",2.268084323,"DMA"
"Dominican Republic",1.690359494,"DOM"
"Ecuador",2.142783049,"ECU"
"Egypt",2.023990233,"EGY"
"El Salvador",1.995595857,"SLV"
"Equatorial Guinea",3.080829707,"GNQ"
"Eritrea",0.544843335,"ERI"
"Estonia",6.083303792,"EST"
"Ethiopia",1.046694779,"ETH"
"Fiji",2.605453025,"FJI"
"Finland",6.551923361,"FIN"
"France",5.254434366,"FRA"
"French Guiana",2.688510857,"GUF"
"French Polynesia",4.607942895,"PYF"
"Gabon",2.103796678,"GAB"
"Gambia",1.391986755,"GMB"
"Georgia",1.47333679,"GEO"
"Germany",5.432812368,"DEU"
"Ghana",1.924055142,"GHA"
"Greece",5.259986398,"GRC"
"Grenada",2.946283868,"GRD"
"Guadeloupe",3.974996438,"GLP"
"Guatemala",1.765593604,"GTM"
"Guinea",1.478829931,"GIN"
"Guinea-Bissau",1.646130641,"GNB"
"Guyana",2.619154225,"GUY"
"Haiti",0.676375163,"HTI"
"Honduras",1.813390914,"HND"
