country,year,population,BiocapPerCap,footprint,deficit,id,ratio
Myanmar,1969,26504199.2237234,2.413797789,0.666276956,1.747520833,MMR,-2.6228144576562546
Namibia,1969,758304.992641106,21.11395961,1.781992759,19.331966851,NAM,-10.848510328318342
Nepal,1969,11750900.4009123,0.679621601,0.867301709,-0.187680108,NPL,0.21639540894759152
Netherlands,1969,12821799.80606,1.092418486,5.532056426,-4.43963794,NLD,0.8025294028336797
New Zealand,1969,2775679.9310786,16.22380511,4.834576332,11.389228778,NZL,-2.3557863183615155
Nicaragua,1969,2326139.89252699,7.721853275,2.357802215,5.36405106,NIC,-2.275021639166625
Niger,1969,4375839.84414432,2.448326906,2.035970765,0.412356141,NER,-0.20253539396966735
Nigeria,1969,54859199.2367289,1.094704885,0.993905301,0.100799584,NGA,-0.10141769432015547
Norway,1969,3845929.9315097,9.636484754,9.523577476,0.112907278,NOR,-0.011855553050787171
Pakistan,1969,56545898.3912586,0.528315365,0.632550144,-0.104234779,PAK,0.16478500556629389
Panama,1969,1476479.98015114,9.608607107,2.295878122,7.312728985,PAN,-3.1851555685498187
Papua New Guinea,1969,2371510.00988269,10.98710159,1.470625726,9.516475864,PNG,-6.4710386169322325
Paraguay,1969,2412560.05838133,35.54296662,3.083672227,32.459294393,PRY,-10.526181774052732
Peru,1969,12982400.39332,8.685280678,2.546811745,6.138468933,PER,-2.4102562527643756
Philippines,1969,34787601.5655096,0.836068522,1.080930307,-0.244861785,PHL,0.2265287441885002
Poland,1969,32571699.2128358,2.149356469,4.928516242,-2.779159773,POL,0.5638938042481142
Portugal,1969,8669639.65174336,1.458791084,2.715150752,-1.256359668,PRT,0.4627218827811149
Reunion,1969,450740.997263201,0.31011534,1.061333677,-0.751218337,REU,0.7078059928555342
Romania,1969,20305400.38862,2.24583677,3.506071439,-1.260234669,ROU,0.35944352273650293
Rwanda,1969,3640590.0866748,0.772867217,1.051376868,-0.278509651,RWA,0.2648999226412502
Saint Lucia,1969,102747.001678165,0.955550341,1.144757364,-0.189207023,LCA,0.16528133292707076
Samoa,1969,140520.004211083,2.099062273,1.502169412,0.596892861,WSM,-0.3973538911335521
Sao Tome and Principe,1969,72239.9978716573,2.775685254,0.91451436,1.861170894,STP,-2.0351467132785097
Senegal,1969,4093760.00966718,3.667109695,1.747438845,1.91967085,SEN,-1.0985625365332885
Sierra Leone,1969,2473169.92251086,2.354386534,1.629439405,0.724947129,SLE,-0.44490585337231364
Somalia,1969,3385409.91255099,3.765699533,2.199939494,1.565760039,SOM,-0.7117286831162274
South Africa,1969,21926199.2153972,2.303369112,3.284769929,-0.981400817,ZAF,0.2987730764141442
Spain,1969,33558601.5669161,1.353534223,3.298709372,-1.945175149,ESP,0.5896776374150975
Sri Lanka,1969,12217200.196425,0.552693514,0.926918775,-0.374225261,LKA,0.40373037108887994
Sudan (former),1969,13473200.1993465,5.597813373,2.014344293,3.58346908,NA,-1.7789754673284144
Swaziland,1969,433709.014828504,2.489079766,2.067462314,0.421617452,SWZ,-0.20392993339950186
Sweden,1969,7997379.8825832,11.98531963,7.284835358,4.700484272,SWE,-0.6452423481112805
Switzerland,1969,6114720.21426392,1.229557951,5.396737933,-4.167179982,CHE,0.7721664519817623
Syrian Arab Republic,1969,6166930.17470213,1.11117103,1.101037265,0.010133765,SYR,-0.009203834713078455
"Tanzania, United Republic of",1969,13186599.608391,2.383823693,1.536795058,0.847028635,TZA,-0.5511656421529174
Thailand,1969,35826800.7760571,1.390331453,1.003574566,0.386756887,THA,-0.38537932317427825
Timor-Leste,1969,589518.981847063,3.402340757,0.479116783,2.923223974,TLS,-6.101276510699899
Togo,1969,2034910.03420056,1.205039577,1.295405262,-0.0903656850000001,TGO,0.06975862122134878
Tonga,1969,82878.9977996311,1.762178198,0.982759327,0.779418871,TON,-0.7930923162838626
Trinidad and Tobago,1969,937846.007881561,2.47259619,0.852855934,1.619740256,TTO,-1.899195621941935
Tunisia,1969,4950149.89974008,1.024895665,0.921822479,0.103073186,TUN,-0.11181457205493037
Turkey,1969,33969199.2123055,2.440599427,1.889063831,0.551535596,TUR,-0.29196239266729146
Uganda,1969,9162769.52718539,1.620614419,2.066747086,-0.446132667,UGA,0.2158622455655418
United Kingdom,1969,55406398.4350875,1.07333844,6.952512574,-5.879174134,GBR,0.8456186265647451
United States of America,1969,207599000.048588,4.691223917,10.17561041,-5.484386493,USA,0.5389737098828256
Uruguay,1969,2795040.03890484,10.80103803,4.730949205,6.070088825,URY,-1.2830593950543168
USSR,1969,240055000.046623,4.892904012,4.873877323,0.0190266889999995,SUUH,-0.0039038095830216868
"Venezuela, Bolivarian Republic of",1969,11235500.0008345,6.465250822,2.207372196,4.257878626,VEN,-1.928935516047426
Viet Nam,1969,42309699.2109048,0.960543111,0.758211031,0.20233208,VNM,-0.266854571784778
World,1969,3607865500.46655,2.754026161,2.628818457,0.125207704,WORLD,-0.04762888957455313
Yemen,1969,6047229.98382158,1.921233685,0.858174717,1.063058968,YEM,-1.2387442171638807
Yugoslav SFR,1969,20044400.3906152,2.097095168,2.550934765,-0.453839597,YUG,0.1779110948766265
Zambia,1969,4047479.98115061,6.724627115,1.992490513,4.732136602,ZMB,-2.3749857633575595
Zimbabwe,1969,5036319.82315087,1.769686599,1.813139638,-0.0434530390000001,ZWE,0.023965632921649292
