"country","year","footprint","deficit","id"
"Somalia",1967,2.318982612,1.654866545,"SOM"
"South Africa",1967,3.433730623,-0.81181186,"ZAF"
"Spain",1967,3.055536424,-1.709090519,"ESP"
"Sri Lanka",1967,0.892603746,-0.347103701,"LKA"
"Sudan (former)",1967,2.044848145,3.947740284,""
"Sweden",1967,8.471465965,3.904017095,"SWE"
"Switzerland",1967,4.801213615,-3.525359147,"CHE"
"Syrian Arab Republic",1967,1.062745372,0.116972193,"SYR"
"Tanzania, United Republic of",1967,1.588324775,0.954573981,"TZA"
"Thailand",1967,0.91688101,0.501886619,"THA"
"Timor-Leste",1967,0.471901939,3.075748992,"TLS"
"Togo",1967,1.395241838,-0.088909847,"TGO"
"Tonga",1967,1.020806251,0.812039202,"TON"
"Trinidad and Tobago",1967,1.266900053,1.249012955,"TTO"
"Tunisia",1967,0.931891107,0.192610977,"TUN"
"Turkey",1967,1.802517076,0.746051243,"TUR"
"Uganda",1967,1.952922335,-0.367779863,"UGA"
"United Kingdom",1967,6.57464692,-5.461961051,"GBR"
"United States of America",1967,9.455805498,-4.696020435,"USA"
"Uruguay",1967,4.802248426,6.093687304,"URY"
"USSR",1967,4.713636495,0.221803038,"SUUH"
"Venezuela, Bolivarian Republic of",1967,2.125836825,4.855527883,"VEN"
"Viet Nam",1967,0.734889578,0.291197811,"VNM"
"World",1967,2.529259366,0.329350286,"WORLD"
"Yemen",1967,0.913291446,1.094634664,"YEM"
"Yugoslav SFR",1967,2.507233785,-0.417018555,"YUG"
"Zambia",1967,1.957735168,5.259096602,"ZMB"
"Zimbabwe",1967,1.63692294,0.181971472,"ZWE"
