"country","year","population","BiocapPerCap","footprint","deficit","id"
"Japan",1989,121830999.992665,0.695294881,5.414669765,-4.719374884,"JPN"
"Jordan",1989,3209469.9704144,0.232699088,0.981567924,-0.748868836,"JOR"
"Kenya",1989,22668199.2216144,0.899603777,1.378825168,-0.479221391,"KEN"
"Korea, Democratic People's Republic of",1989,19895400.3874402,0.991136414,3.542580617,-2.551444203,"PRK"
"Korea, Republic of",1989,42546699.2056747,0.887267098,3.25736215,-2.370095052,"KOR"
"Lao People's Democratic Republic",1989,4126939.94191361,1.891413766,1.226899364,0.664514402,"LAO"
"Lebanon",1989,2676610.10722527,0.492330443,3.359656295,-2.867325852,"LBN"
"Lesotho",1989,1569939.9418289,1.135633954,1.644755879,-0.509121925,"LSO"
"Liberia",1989,2137020.02000582,5.51473313,1.570903989,3.943829141,"LBR"
"Libyan Arab Jamahiriya",1989,4294549.80530271,0.943373642,2.90703835,-1.963664708,"LBY"
"Luxembourg",1989,431875.000027442,1.876160447,12.98214013,-11.105979683,"LUX"
"Madagascar",1989,11205499.9979192,4.884449027,1.452567095,3.431881932,"MDG"
"Malawi",1989,9073089.84892398,0.614444113,0.698264311,-0.083820198,"MWI"
"Malaysia",1989,17707099.6114553,3.584107177,2.589291205,0.994815972,"MYS"
"Mali",1989,8322730.46975644,2.239027898,1.245427543,0.993600355,"MLI"
"Malta",1989,352303.985629438,0.702515507,5.786144336,-5.083628829,"MLT"
"Martinique",1989,355346.008262726,0.49002213,2.991294086,-2.501271956,"MTQ"
"Mauritania",1989,1968869.99506304,8.720145375,2.751453563,5.968691812,"MRT"
"Mauritius",1989,1045589.96577366,0.91858936,2.178642105,-1.260052745,"MUS"
"Mexico",1989,83901601.5715064,1.681365554,2.419256889,-0.737891335,"MEX"
"Mongolia",1989,2141010.01024655,21.77956924,6.70455614,15.0750131,"MNG"
"Morocco",1989,24489400.3972773,0.991277899,1.296383823,-0.305105924,"MAR"
"Mozambique",1989,13181900.3907929,3.730807056,0.84651231,2.884294746,"MOZ"
"Myanmar",1989,41379601.5912743,1.696376385,0.676314304,1.020062081,"MMR"
"Namibia",1989,1360920.04388754,11.58227727,1.329949165,10.252328105,"NAM"
"Nepal",1989,18285400.3938004,0.608533563,0.848355718,-0.239822155,"NPL"
"Netherlands",1989,14816799.8040857,0.974117818,5.749223164,-4.775105346,"NLD"
"New Zealand",1989,3360350.09646071,13.51314363,4.192695456,9.320448174,"NZL"
"Nicaragua",1989,4055260.0096949,3.343351503,1.579677193,1.76367431,"NIC"
"Niger",1989,7671229.98007142,1.595573163,1.630986962,-0.0354137989999999,"NER"
"Nigeria",1989,93179796.8628024,0.786229525,1.038919718,-0.252690193,"NGA"
"Norway",1989,4219529.78504815,9.087939086,8.713951064,0.373988022000001,"NOR"
"Oman",1989,1741959.9603904,3.291748238,1.803084214,1.488664024,"OMN"
"Pakistan",1989,104530999.925059,0.473106477,0.724918946,-0.251812469,"PAK"
"Panama",1989,2419620.1176553,4.960542325,2.122284837,2.838257488,"PAN"
"Papua New Guinea",1989,4057409.91178422,6.662484234,1.634346859,5.028137375,"PNG"
"Paraguay",1989,4103910.1557299,17.0757512,3.787047428,13.288703772,"PRY"
"Peru",1989,21368900.3932747,5.30877852,1.705373964,3.603404556,"PER"
"Philippines",1989,60391199.2165622,0.637456462,1.152147655,-0.514691193,"PHL"
"Poland",1989,38094800.7710153,2.152810363,5.768423739,-3.615613376,"POL"
"Portugal",1989,9887000.00148144,1.460139496,4.048761646,-2.58862215,"PRT"
"Qatar",1989,463062.011752728,5.326845094,8.512205264,-3.18536017,"QAT"
"Reunion",1989,599452.026348996,0.236801433,2.547045825,-2.310244392,"REU"
"Romania",1989,23472599.6184051,2.336196693,4.806638661,-2.470441968,"ROU"
"Rwanda",1989,7239100.09541782,0.593072665,0.896050688,-0.302978023,"RWA"
"Saint Lucia",1989,135953.994748139,0.745153795,2.557838578,-1.812684783,"LCA"
"Samoa",1989,162001.007078183,1.910677111,2.094983324,-0.184306213,"WSM"
"Sao Tome and Principe",1989,111373.0010999,1.488825158,1.352825799,0.135999359,"STP"
"Senegal",1989,7285379.87871342,2.088669595,1.387177042,0.701492553,"SEN"
"Sierra Leone",1989,3878209.96273121,1.565864054,1.030888838,0.534975216,"SLE"
"Singapore",1989,2943629.88222899,0.039175102,4.327492786,-4.288317684,"SGP"
"Somalia",1989,6285459.95932514,2.150259479,1.642825982,0.507433497,"SOM"
"South Africa",1989,35965101.5714229,1.590495603,3.529167158,-1.938671555,"ZAF"
"Spain",1989,39110101.5731498,1.549696725,4.4738398,-2.924143075,"ESP"
"Sri Lanka",1989,17111800.7752138,0.477759826,0.857221811,-0.379461985,"LKA"
"Sudan (former)",1989,25055900.3965432,3.164188951,1.612377292,1.551811659,""
"Swaziland",1989,833786.987409476,1.319327531,2.16784782,-0.848520289,"SWZ"
"Sweden",1989,8506240.23314506,11.3977981,7.016997199,4.380800901,"SWE"
"Switzerland",1989,6618270.01920039,1.356603089,6.357643751,-5.001040662,"CHE"
"Syrian Arab Republic",1989,12088700.2000741,0.58931277,1.293299766,-0.703986996,"SYR"
"Tanzania, United Republic of",1989,24663300.7839555,1.532615291,1.482942939,0.049672352,"TZA"
"Thailand",1989,55812800.7981847,1.137473874,1.409502356,-0.272028482,"THA"
"Timor-Leste",1989,720197.998269236,2.927085942,0.48450272,2.442583222,"TLS"
"Togo",1989,3684310.05801721,0.726581151,1.110090644,-0.383509493,"TGO"
"Tonga",1989,94943.000797372,1.21566975,1.682458185,-0.466788435,"TON"
